name,size,about
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 200,1,"Current problems in fluid flow, heat flow, and solute transport in the earth. P..."
EPS 209,1,Introduction to Matlab programming with toolboxes. Applications come from Earth...
EPS 212,1,"Evolution of the earth in response to internal, surficial and extraterrestrial ..."
EPS 214,1,"The composition, generation, and cooling of magmas to form igneous rocks. The p..."
EPS 217,1,Application of fluid mechanics to sediment transport and development of river m...
EPS 220,1,A combined seminar and lecture course covering advanced topics related to miner...
EPS 224,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 225,1,Analysis of current developments and techniques in experimental and theoretical...
EPS 229,1,This course emphasizes the fundamentals of the climate system via a hierarchy o...
EPS 230,1,Introduction to role of radiative processes in structure and evolution of the c...
EPS C241,1,Course focuses on principles and applications of stable isotope chemistry as ap...
EPS C242,1,"A review of the mechanics of glacial systems, including formation of ice masses..."
EPS C249,1,The physical foundations of planetary sciences. Topics include planetary interi...
EPS 250,1,Review of recent literature and discussion of ongoing research at the interface...
EPS 251,1,"In this course, we will focus on the (unsolved) puzzle of the contemporary carb..."
EPS 254,1,Lectures on various topics representing current advances in seismology and geop...
EPS 255,1,Lectures on various topics representing current advances in all aspects of eart...
EPS 256,1,"Each week, the seismicity of the previous week, in California and worldwide, is..."
EPS 260,1,Weekly presentations to introduce new graduate students and senior undergraduat...
EPS C276,1,Deterministic and probabilistic approaches for seismic hazard analysis. Separat...
EPS 280,1,Individual conferences to be arranged. Provides supervision in the preparation ...
EPS 290,1,Topics will be announced each semester....
EPS C292,1,The departments of Astronomy and Earth and Planetary Science offer a joint rese...
EPS C295Z,1,"After a brief overview of the chemistry of carbon dioxide in the land, ocean, a..."
EPS 298,1, ...
EPS C301,1,For graduate students interested in improving their ability to communicate thei...
EPS 375,1,"Discussion, curriculum, class observation, and practice teaching in geology, ge..."
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 200,1,"Current problems in fluid flow, heat flow, and solute transport in the earth. P..."
EPS 209,1,Introduction to Matlab programming with toolboxes. Applications come from Earth...
EPS 212,1,"Evolution of the earth in response to internal, surficial and extraterrestrial ..."
EPS 214,1,"The composition, generation, and cooling of magmas to form igneous rocks. The p..."
EPS 217,1,Application of fluid mechanics to sediment transport and development of river m...
EPS 220,1,A combined seminar and lecture course covering advanced topics related to miner...
EPS 224,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 225,1,Analysis of current developments and techniques in experimental and theoretical...
EPS 229,1,This course emphasizes the fundamentals of the climate system via a hierarchy o...
EPS 230,1,Introduction to role of radiative processes in structure and evolution of the c...
EPS C241,1,Course focuses on principles and applications of stable isotope chemistry as ap...
EPS C242,1,"A review of the mechanics of glacial systems, including formation of ice masses..."
EPS C249,1,The physical foundations of planetary sciences. Topics include planetary interi...
EPS 250,1,Review of recent literature and discussion of ongoing research at the interface...
EPS 251,1,"In this course, we will focus on the (unsolved) puzzle of the contemporary carb..."
EPS 254,1,Lectures on various topics representing current advances in seismology and geop...
EPS 255,1,Lectures on various topics representing current advances in all aspects of eart...
EPS 256,1,"Each week, the seismicity of the previous week, in California and worldwide, is..."
EPS 260,1,Weekly presentations to introduce new graduate students and senior undergraduat...
EPS C276,1,Deterministic and probabilistic approaches for seismic hazard analysis. Separat...
EPS 280,1,Individual conferences to be arranged. Provides supervision in the preparation ...
EPS 290,1,Topics will be announced each semester....
EPS C292,1,The departments of Astronomy and Earth and Planetary Science offer a joint rese...
EPS C295Z,1,"After a brief overview of the chemistry of carbon dioxide in the land, ocean, a..."
EPS 298,1, ...
EPS C301,1,For graduate students interested in improving their ability to communicate thei...
EPS 375,1,"Discussion, curriculum, class observation, and practice teaching in geology, ge..."
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 200,1,"Current problems in fluid flow, heat flow, and solute transport in the earth. P..."
EPS 209,1,Introduction to Matlab programming with toolboxes. Applications come from Earth...
EPS 212,1,"Evolution of the earth in response to internal, surficial and extraterrestrial ..."
EPS 214,1,"The composition, generation, and cooling of magmas to form igneous rocks. The p..."
EPS 217,1,Application of fluid mechanics to sediment transport and development of river m...
EPS 220,1,A combined seminar and lecture course covering advanced topics related to miner...
EPS 224,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 225,1,Analysis of current developments and techniques in experimental and theoretical...
EPS 229,1,This course emphasizes the fundamentals of the climate system via a hierarchy o...
EPS 230,1,Introduction to role of radiative processes in structure and evolution of the c...
EPS C241,1,Course focuses on principles and applications of stable isotope chemistry as ap...
EPS C242,1,"A review of the mechanics of glacial systems, including formation of ice masses..."
EPS C249,1,The physical foundations of planetary sciences. Topics include planetary interi...
EPS 250,1,Review of recent literature and discussion of ongoing research at the interface...
EPS 251,1,"In this course, we will focus on the (unsolved) puzzle of the contemporary carb..."
EPS 254,1,Lectures on various topics representing current advances in seismology and geop...
EPS 255,1,Lectures on various topics representing current advances in all aspects of eart...
EPS 256,1,"Each week, the seismicity of the previous week, in California and worldwide, is..."
EPS 260,1,Weekly presentations to introduce new graduate students and senior undergraduat...
EPS C276,1,Deterministic and probabilistic approaches for seismic hazard analysis. Separat...
EPS 280,1,Individual conferences to be arranged. Provides supervision in the preparation ...
EPS 290,1,Topics will be announced each semester....
EPS C292,1,The departments of Astronomy and Earth and Planetary Science offer a joint rese...
EPS C295Z,1,"After a brief overview of the chemistry of carbon dioxide in the land, ocean, a..."
EPS 298,1, ...
EPS C301,1,For graduate students interested in improving their ability to communicate thei...
EPS 375,1,"Discussion, curriculum, class observation, and practice teaching in geology, ge..."
EPS 3,1,An overview of the processes that control water supply to natural ecosystems an...
EPS 7,1,"This course covers the physical processes that determine Earth's past, present,..."
EPS 10,1,A science-based course on the most significant eruptions Earth has produced. Mo...
EPS C12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS W12,1,A tour of the mysteries and inner workings of our solar system. What are planet...
EPS 20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS C20,1,"Introduction to earthquakes, their causes and effects. General discussion of ba..."
EPS 24,1,The freshman seminar in earth and planetary science is designed to provide new ...
EPS 39,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 39A,1,Freshman and sophomore seminars offer lower division students the opportunity t...
EPS 80,1,This course focuses on the processes on and in the earth that shape the environ...
EPS 81,1,"An introductory survey of the atmospheres of Earth and other planets, spanning ..."
EPS N82,1,"The geology, physics, chemistry, and biology of the world oceans. The applicati..."
EPS 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
EPS 88,1,Earthquakes and El Ninos are examples of natural hazards in California. The cou...
EPS 98,1,Group studies of selected topics which vary from semester to semester....
EPS C100,1,For undergraduates interested in improving their ability to communicate their s...
EPS 109,1,Introduction to modern computer simulation methods and their application to sel...
EPS 111,1,"Basin development related to plate tectonics. Origin of petroleum: quality, qua..."
EPS 113,1,We will survey the biological oceanography underlying geochemical transformatio...
EPS 115,1,"Collecting, analyzing, and presenting stratigraphic data; dating and correlatin..."
EPS 117,1,"Quantitative examination of landforms, runoff generation, weathering, mechanics..."
EPS 122,1,"Gravity field, density distribution, and internal seismic structure of the Eart..."
EPS 124,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 125,1,This course provides an introduction to the principles of stable isotope geoche...
EPS C129,1,"This course describes how the physical environment (light, wind, temperature, h..."
EPS 131,1,Chemical reactions in geological processes. Thermodynamic methods for predictin...
EPS C146,1,"The tectonics and morphology of the sea floor, the geologic processes in the de..."
EPS 150,1,Analysis and discussion of three research problems on the interactions of solid...
EPS C162,1,"Physics of planetary systems, both solar and extra-solar. Star and planet forma..."
EPS C178,1,The theory and practice of geophysical methods for determining the subsurface d...
EPS C180,1,This course is an introduction to air pollution and the chemistry of earth's at...
EPS C181,1,This course examines the processes that determine the structure and circulation...
EPS C183,1,The focus is the (unsolved) puzzle of the contemporary carbon cycle. Why is the...
EPS H195,1,Original research and preparation of an acceptable thesis. May be taken during ...
EPS 197,1,Written proposal signed by faculty sponsor and approved by major faculty adviso...
EPS 198,1,Group studies of selected topics which vary from semester to semester....
EPS 199,1,Enrollment is restricted by regulations....
EPS 200,1,"Current problems in fluid flow, heat flow, and solute transport in the earth. P..."
EPS 209,1,Introduction to Matlab programming with toolboxes. Applications come from Earth...
EPS 212,1,"Evolution of the earth in response to internal, surficial and extraterrestrial ..."
EPS 214,1,"The composition, generation, and cooling of magmas to form igneous rocks. The p..."
EPS 217,1,Application of fluid mechanics to sediment transport and development of river m...
EPS 220,1,A combined seminar and lecture course covering advanced topics related to miner...
EPS 224,1,"An overview of the use of natural isotopic variations to study earth, planetary..."
EPS 225,1,Analysis of current developments and techniques in experimental and theoretical...
EPS 229,1,This course emphasizes the fundamentals of the climate system via a hierarchy o...
EPS 230,1,Introduction to role of radiative processes in structure and evolution of the c...
EPS C241,1,Course focuses on principles and applications of stable isotope chemistry as ap...
EPS C242,1,"A review of the mechanics of glacial systems, including formation of ice masses..."
EPS C249,1,The physical foundations of planetary sciences. Topics include planetary interi...
EPS 250,1,Review of recent literature and discussion of ongoing research at the interface...
EPS 251,1,"In this course, we will focus on the (unsolved) puzzle of the contemporary carb..."
EPS 254,1,Lectures on various topics representing current advances in seismology and geop...
EPS 255,1,Lectures on various topics representing current advances in all aspects of eart...
EPS 256,1,"Each week, the seismicity of the previous week, in California and worldwide, is..."
EPS 260,1,Weekly presentations to introduce new graduate students and senior undergraduat...
EPS C276,1,Deterministic and probabilistic approaches for seismic hazard analysis. Separat...
EPS 280,1,Individual conferences to be arranged. Provides supervision in the preparation ...
EPS 290,1,Topics will be announced each semester....
EPS C292,1,The departments of Astronomy and Earth and Planetary Science offer a joint rese...
EPS C295Z,1,"After a brief overview of the chemistry of carbon dioxide in the land, ocean, a..."
EPS 298,1, ...
EPS C301,1,For graduate students interested in improving their ability to communicate thei...
EPS 375,1,"Discussion, curriculum, class observation, and practice teaching in geology, ge..."
