source,target,type,weight
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
EPS 115,EPS 115,directed,3
EPS 117,EPS 117,directed,3
EPS 122,EPS 122,directed,3
EPS 124,EPS 124,directed,3
EPS 125,EPS 125,directed,3
EPS C129,EPS C129,directed,3
EPS 131,EPS 131,directed,3
EPS C146,EPS C146,directed,3
EPS 150,EPS 150,directed,3
EPS C162,EPS C162,directed,3
EPS C178,EPS C178,directed,3
EPS C180,EPS C180,directed,3
EPS C181,EPS C181,directed,3
EPS C183,EPS C183,directed,3
EPS H195,EPS H195,directed,3
EPS 197,EPS 197,directed,3
EPS 198,EPS 198,directed,3
EPS 199,EPS 199,directed,3
EPS 200,EPS 200,directed,3
EPS 209,EPS 209,directed,3
EPS 212,EPS 212,directed,3
EPS 214,EPS 214,directed,3
EPS 217,EPS 217,directed,3
EPS 220,EPS 220,directed,3
EPS 224,EPS 224,directed,3
EPS 225,EPS 225,directed,3
EPS 229,EPS 229,directed,3
EPS 230,EPS 230,directed,3
EPS C241,EPS C241,directed,3
EPS C242,EPS C242,directed,3
EPS C249,EPS C249,directed,3
EPS 250,EPS 250,directed,3
EPS 251,EPS 251,directed,3
EPS 254,EPS 254,directed,3
EPS 255,EPS 255,directed,3
EPS 256,EPS 256,directed,3
EPS 260,EPS 260,directed,3
EPS C276,EPS C276,directed,3
EPS 280,EPS 280,directed,3
EPS 290,EPS 290,directed,3
EPS C292,EPS C292,directed,3
EPS C295Z,EPS C295Z,directed,3
EPS 298,EPS 298,directed,3
EPS C301,EPS C301,directed,3
EPS 375,EPS 375,directed,3
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
EPS 115,EPS 115,directed,3
EPS 117,EPS 117,directed,3
EPS 122,EPS 122,directed,3
EPS 124,EPS 124,directed,3
EPS 125,EPS 125,directed,3
EPS C129,EPS C129,directed,3
EPS 131,EPS 131,directed,3
EPS C146,EPS C146,directed,3
EPS 150,EPS 150,directed,3
EPS C162,EPS C162,directed,3
EPS C178,EPS C178,directed,3
EPS C180,EPS C180,directed,3
EPS C181,EPS C181,directed,3
EPS C183,EPS C183,directed,3
EPS H195,EPS H195,directed,3
EPS 197,EPS 197,directed,3
EPS 198,EPS 198,directed,3
EPS 199,EPS 199,directed,3
EPS 200,EPS 200,directed,3
EPS 209,EPS 209,directed,3
EPS 212,EPS 212,directed,3
EPS 214,EPS 214,directed,3
EPS 217,EPS 217,directed,3
EPS 220,EPS 220,directed,3
EPS 224,EPS 224,directed,3
EPS 225,EPS 225,directed,3
EPS 229,EPS 229,directed,3
EPS 230,EPS 230,directed,3
EPS C241,EPS C241,directed,3
EPS C242,EPS C242,directed,3
EPS C249,EPS C249,directed,3
EPS 250,EPS 250,directed,3
EPS 251,EPS 251,directed,3
EPS 254,EPS 254,directed,3
EPS 255,EPS 255,directed,3
EPS 256,EPS 256,directed,3
EPS 260,EPS 260,directed,3
EPS C276,EPS C276,directed,3
EPS 280,EPS 280,directed,3
EPS 290,EPS 290,directed,3
EPS C292,EPS C292,directed,3
EPS C295Z,EPS C295Z,directed,3
EPS 298,EPS 298,directed,3
EPS C301,EPS C301,directed,3
EPS 375,EPS 375,directed,3
EPS 3,EPS 3,directed,3
EPS 7,EPS 7,directed,3
EPS 10,EPS 10,directed,3
EPS C12,EPS C12,directed,3
EPS W12,EPS W12,directed,3
EPS 20,EPS 20,directed,3
EPS C20,EPS C20,directed,3
EPS 24,EPS 24,directed,3
EPS 39,EPS 39,directed,3
EPS 39A,EPS 39A,directed,3
EPS 80,EPS 80,directed,3
EPS 81,EPS 81,directed,3
EPS N82,EPS N82,directed,3
EPS 84,EPS 84,directed,3
EPS 88,EPS 88,directed,3
EPS 98,EPS 98,directed,3
EPS C100,EPS C100,directed,3
EPS 109,EPS 109,directed,3
EPS 111,EPS 111,directed,3
EPS 113,EPS 113,directed,3
