name,size,about
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
NUC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NUC ENG 100,1,The class provides students with an overview of the contemporary nuclear energy...
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fu..."
NUC ENG 102,1,Laboratory course in nuclear physics. Experiments will allow students to direct...
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, ra..."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed t..."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in ...
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristic..."
NUC ENG 130,1,Use of nuclear measurement techniques to detect clandestine movement and/or pos...
NUC ENG 150,1,"Neutron interactions, nuclear fission, and chain reacting systematics in therma..."
NUC ENG 155,1,Computational methods used to analyze radiation transport described by various ...
NUC ENG 156,1,This course provides an introduction to the field of nuclear criticality safety...
NUC ENG 161,1,Energy conversion in nuclear power systems; design of fission reactors; thermal...
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
NUC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NUC ENG 100,1,The class provides students with an overview of the contemporary nuclear energy...
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fu..."
NUC ENG 102,1,Laboratory course in nuclear physics. Experiments will allow students to direct...
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, ra..."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed t..."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in ...
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristic..."
NUC ENG 130,1,Use of nuclear measurement techniques to detect clandestine movement and/or pos...
NUC ENG 150,1,"Neutron interactions, nuclear fission, and chain reacting systematics in therma..."
NUC ENG 155,1,Computational methods used to analyze radiation transport described by various ...
NUC ENG 156,1,This course provides an introduction to the field of nuclear criticality safety...
NUC ENG 161,1,Energy conversion in nuclear power systems; design of fission reactors; thermal...
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
NUC ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
NUC ENG 100,1,The class provides students with an overview of the contemporary nuclear energy...
NUC ENG 101,1,"Energetics and kinetics of nuclear reactions and radioactive decay, fission, fu..."
NUC ENG 102,1,Laboratory course in nuclear physics. Experiments will allow students to direct...
NUC ENG 104,1,"Basic science of radiation measurement, nuclear instrumentation, neutronics, ra..."
NUC ENG 107,1,"Introduction to medical imaging physics and systems, including x-ray computed t..."
NUC ENG 120,1,Effects of irradiation on the atomic and mechanical properties of materials in ...
NUC ENG 124,1,"Components and material flowsheets for nuclear fuel cycle, waste characteristic..."
NUC ENG 130,1,Use of nuclear measurement techniques to detect clandestine movement and/or pos...
NUC ENG 150,1,"Neutron interactions, nuclear fission, and chain reacting systematics in therma..."
NUC ENG 155,1,Computational methods used to analyze radiation transport described by various ...
NUC ENG 156,1,This course provides an introduction to the field of nuclear criticality safety...
NUC ENG 161,1,Energy conversion in nuclear power systems; design of fission reactors; thermal...
NUC ENG 162,1,"Interaction of radiation with matter; physical, chemical, and biological effect..."
NUC ENG 167,1,"Project-based class for design and licensing of nuclear facilities, including a..."
NUC ENG 170A,1,Design of various fission and fusion power systems and other physically based a...
NUC ENG 170B,1,A systems approach to the development of procedures for nuclear medicine and ra...
NUC ENG 175,1,Methodological approaches for the quantification of technological risk and risk...
NUC ENG 180,1,Introduction to energy production by controlled thermonuclear reactions. Nuclea...
NUC ENG H194,1,Supervised research. Students who have completed three or more upper division c...
NUC ENG 198,1,Group studies of selected topics....
NUC ENG 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
NUC ENG S199,1,Supervised independent study. Please see section of the for description and pre...
