name,size,about
CHEM C170L,1,Laboratory techniques for the cultivation of microorganisms in batch and contin...
CHEM C178,1,"An interdisciplinary course on the synthesis, characterization, and properties ..."
CHEM C191,1,This multidisciplinary course provides an introduction to fundamental conceptua...
CHEM 192,1,All properly qualified students who wish to pursue a problem of their own choic...
CHEM H193,1,A senior honors thesis is written in consultation with the student’s faculty re...
CHEM H194,1,Students may pursue original research under the direction of one of the members...
CHEM 195,1,Special topics will be offered from time to time. Examples are: photochemical a...
CHEM 196,1,Special laboratory work for advanced undergraduates....
CHEM 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHEM 198,1,Group study of selected topics....
CHEM 199,1,Enrollment is restricted by regulations listed in the ....
CHEM 1AD,1,"An interactive general chemistry course that uses modern digital technology, of..."
CHEM W1A,1,"Stoichiometry of chemical reactions, quantum mechanical description of atoms, t..."
CHEM 3AL,1,Introduction to the theory and practice of methods used in the organic chemistr...
CHEM 3BL,1,The synthesis and purification of organic compounds will be explored. Natural p...
CHEM N3AL,1,Introduction to the theory and practice of methods used in the organic chemistr...
CHEM 4A,1,"Series is intended for majors in physical, biological sciences, and engineering..."
CHEM 24,1,The Freshman Seminar Program has been designed to provide new students with the...
CHEM 32,1,Foundation and preparation for General Chemistry. Topics and concepts include e...
CHEM 49,1,"Students with partial credit in lower division chemistry courses may, with cons..."
CHEM 96,1,Introduces sophomores and new transfer students to research activities and prog...
CHEM 98,1,Group study of selected topics....
CHEM 98W,1,Topics vary with instructor. Enrollment restrictions apply....
CHEM 100,1,For undergraduate and graduate students interested in improving their ability t...
CHEM C110L,1,"Experimental techniques of biochemistry and molecular biology, designed to acco..."
CHEM 115,1,"Advanced synthetic methods, chemical and spectroscopic structural methods, desi..."
CHEM 149,1,"Students with partial credit in upper division chemistry courses may, with cons..."
CHEM C170L,1,Laboratory techniques for the cultivation of microorganisms in batch and contin...
CHEM C178,1,"An interdisciplinary course on the synthesis, characterization, and properties ..."
CHEM C191,1,This multidisciplinary course provides an introduction to fundamental conceptua...
CHEM 192,1,All properly qualified students who wish to pursue a problem of their own choic...
CHEM H193,1,A senior honors thesis is written in consultation with the student’s faculty re...
CHEM H194,1,Students may pursue original research under the direction of one of the members...
CHEM 195,1,Special topics will be offered from time to time. Examples are: photochemical a...
CHEM 196,1,Special laboratory work for advanced undergraduates....
CHEM 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHEM 198,1,Group study of selected topics....
CHEM 199,1,Enrollment is restricted by regulations listed in the ....
