source,target,type,weight
ART 160,ART 160,directed,3
ART 163,ART 163,directed,3
ART N163,ART N163,directed,3
ART 164,ART 164,directed,3
ART 165,ART 165,directed,3
ART C166,ART C166,directed,3
ART 171,ART 171,directed,3
ART N171,ART N171,directed,3
ART 172,ART 172,directed,3
ART 173,ART 173,directed,3
ART 174,ART 174,directed,3
ART 180,ART 180,directed,3
ART 182,ART 182,directed,3
ART 184,ART 184,directed,3
ART 185,ART 185,directed,3
ART H195A,ART H195A,directed,3
ART H195B,ART H195B,directed,3
ART 196,ART 196,directed,3
ART 198,ART 198,directed,3
ART 199,ART 199,directed,3
ART N199,ART N199,directed,3
ART 8A,ART 8A,directed,3
ART 12,ART 12,directed,3
ART 14,ART 14,directed,3
ART 16,ART 16,directed,3
ART 17,ART 17,directed,3
ART 21,ART 21,directed,3
ART W23AC,ART W23AC,directed,3
ART 25,ART 25,directed,3
ART 26,ART 26,directed,3
ART 98,ART 98,directed,3
ART 99,ART 99,directed,3
ART 100,ART 100,directed,3
ART 103,ART 103,directed,3
ART 118,ART 118,directed,3
ART 119,ART 119,directed,3
ART 120,ART 120,directed,3
ART 122,ART 122,directed,3
ART 123,ART 123,directed,3
ART 124,ART 124,directed,3
ART 130,ART 130,directed,3
ART 132,ART 132,directed,3
ART 133,ART 133,directed,3
ART 137,ART 137,directed,3
ART 138,ART 138,directed,3
ART 141,ART 141,directed,3
ART 145,ART 145,directed,3
ART 160,ART 160,directed,3
ART 163,ART 163,directed,3
ART N163,ART N163,directed,3
ART 164,ART 164,directed,3
ART 165,ART 165,directed,3
ART C166,ART C166,directed,3
ART 171,ART 171,directed,3
ART N171,ART N171,directed,3
ART 172,ART 172,directed,3
ART 173,ART 173,directed,3
ART 174,ART 174,directed,3
ART 180,ART 180,directed,3
ART 182,ART 182,directed,3
ART 184,ART 184,directed,3
ART 185,ART 185,directed,3
ART H195A,ART H195A,directed,3
ART H195B,ART H195B,directed,3
ART 196,ART 196,directed,3
ART 198,ART 198,directed,3
ART 199,ART 199,directed,3
ART N199,ART N199,directed,3
ART 8A,ART 8A,directed,3
ART 12,ART 12,directed,3
ART 14,ART 14,directed,3
ART 16,ART 16,directed,3
ART 17,ART 17,directed,3
ART 21,ART 21,directed,3
ART W23AC,ART W23AC,directed,3
ART 25,ART 25,directed,3
ART 26,ART 26,directed,3
ART 98,ART 98,directed,3
ART 99,ART 99,directed,3
ART 100,ART 100,directed,3
ART 103,ART 103,directed,3
ART 118,ART 118,directed,3
ART 119,ART 119,directed,3
ART 120,ART 120,directed,3
ART 122,ART 122,directed,3
ART 123,ART 123,directed,3
ART 124,ART 124,directed,3
ART 130,ART 130,directed,3
ART 132,ART 132,directed,3
ART 133,ART 133,directed,3
ART 137,ART 137,directed,3
ART 138,ART 138,directed,3
ART 141,ART 141,directed,3
ART 145,ART 145,directed,3
ART 160,ART 160,directed,3
ART 163,ART 163,directed,3
ART N163,ART N163,directed,3
ART 164,ART 164,directed,3
ART 165,ART 165,directed,3
ART C166,ART C166,directed,3
ART 171,ART 171,directed,3
ART N171,ART N171,directed,3
ART 172,ART 172,directed,3
ART 173,ART 173,directed,3
ART 174,ART 174,directed,3
ART 180,ART 180,directed,3
ART 182,ART 182,directed,3
ART 184,ART 184,directed,3
ART 185,ART 185,directed,3
ART H195A,ART H195A,directed,3
ART H195B,ART H195B,directed,3
ART 196,ART 196,directed,3
ART 198,ART 198,directed,3
ART 199,ART 199,directed,3
ART N199,ART N199,directed,3
