source,target,type,weight
ASAMST 176,ASAMST 176,directed,3
ASAMST 178,ASAMST 178,directed,3
ASAMST 181,ASAMST 181,directed,3
ASAMST 183,ASAMST 183,directed,3
ASAMST 190,ASAMST 190,directed,3
ASAMST 194A,ASAMST 194A,directed,3
ASAMST 194B,ASAMST 194B,directed,3
ASAMST 195,ASAMST 195,directed,3
ASAMST H195A,ASAMST H195A,directed,3
ASAMST H195B,ASAMST H195B,directed,3
ASAMST 197,ASAMST 197,directed,3
ASAMST 198,ASAMST 198,directed,3
ASAMST 199,ASAMST 199,directed,3
ASAMST R2A,ASAMST R2A,directed,3
ASAMST R2B,ASAMST R2B,directed,3
ASAMST 20AC,ASAMST 20AC,directed,3
ASAMST 20C,ASAMST 20C,directed,3
ASAMST W20AC,ASAMST W20AC,directed,3
ASAMST 24,ASAMST 24,directed,3
ASAMST 39,ASAMST 39,directed,3
ASAMST 97,ASAMST 97,directed,3
ASAMST 98,ASAMST 98,directed,3
ASAMST 99,ASAMST 99,directed,3
ASAMST 128AC,ASAMST 128AC,directed,3
ASAMST 131,ASAMST 131,directed,3
ASAMST 132,ASAMST 132,directed,3
ASAMST 132AC,ASAMST 132AC,directed,3
ASAMST 138,ASAMST 138,directed,3
ASAMST 143AC,ASAMST 143AC,directed,3
ASAMST 144,ASAMST 144,directed,3
ASAMST 145,ASAMST 145,directed,3
ASAMST 146,ASAMST 146,directed,3
ASAMST 171,ASAMST 171,directed,3
ASAMST 172,ASAMST 172,directed,3
ASAMST 173,ASAMST 173,directed,3
ASAMST 175,ASAMST 175,directed,3
ASAMST 176,ASAMST 176,directed,3
ASAMST 178,ASAMST 178,directed,3
ASAMST 181,ASAMST 181,directed,3
ASAMST 183,ASAMST 183,directed,3
ASAMST 190,ASAMST 190,directed,3
ASAMST 194A,ASAMST 194A,directed,3
ASAMST 194B,ASAMST 194B,directed,3
ASAMST 195,ASAMST 195,directed,3
ASAMST H195A,ASAMST H195A,directed,3
ASAMST H195B,ASAMST H195B,directed,3
ASAMST 197,ASAMST 197,directed,3
ASAMST 198,ASAMST 198,directed,3
ASAMST 199,ASAMST 199,directed,3
ASAMST R2A,ASAMST R2A,directed,3
ASAMST R2B,ASAMST R2B,directed,3
ASAMST 20AC,ASAMST 20AC,directed,3
ASAMST 20C,ASAMST 20C,directed,3
ASAMST W20AC,ASAMST W20AC,directed,3
ASAMST 24,ASAMST 24,directed,3
ASAMST 39,ASAMST 39,directed,3
ASAMST 97,ASAMST 97,directed,3
ASAMST 98,ASAMST 98,directed,3
ASAMST 99,ASAMST 99,directed,3
ASAMST 128AC,ASAMST 128AC,directed,3
ASAMST 131,ASAMST 131,directed,3
ASAMST 132,ASAMST 132,directed,3
ASAMST 132AC,ASAMST 132AC,directed,3
ASAMST 138,ASAMST 138,directed,3
ASAMST 143AC,ASAMST 143AC,directed,3
ASAMST 144,ASAMST 144,directed,3
ASAMST 145,ASAMST 145,directed,3
ASAMST 146,ASAMST 146,directed,3
ASAMST 171,ASAMST 171,directed,3
ASAMST 172,ASAMST 172,directed,3
ASAMST 173,ASAMST 173,directed,3
ASAMST 175,ASAMST 175,directed,3
ASAMST 176,ASAMST 176,directed,3
ASAMST 178,ASAMST 178,directed,3
ASAMST 181,ASAMST 181,directed,3
ASAMST 183,ASAMST 183,directed,3
ASAMST 190,ASAMST 190,directed,3
ASAMST 194A,ASAMST 194A,directed,3
ASAMST 194B,ASAMST 194B,directed,3
ASAMST 195,ASAMST 195,directed,3
ASAMST H195A,ASAMST H195A,directed,3
ASAMST H195B,ASAMST H195B,directed,3
ASAMST 197,ASAMST 197,directed,3
ASAMST 198,ASAMST 198,directed,3
ASAMST 199,ASAMST 199,directed,3
ASAMST R2A,ASAMST R2A,directed,3
ASAMST R2B,ASAMST R2B,directed,3
ASAMST 20AC,ASAMST 20AC,directed,3
ASAMST 20C,ASAMST 20C,directed,3
ASAMST W20AC,ASAMST W20AC,directed,3
ASAMST 24,ASAMST 24,directed,3
ASAMST 39,ASAMST 39,directed,3
ASAMST 97,ASAMST 97,directed,3
ASAMST 98,ASAMST 98,directed,3
ASAMST 99,ASAMST 99,directed,3
ASAMST 128AC,ASAMST 128AC,directed,3
ASAMST 131,ASAMST 131,directed,3
ASAMST 132,ASAMST 132,directed,3
ASAMST 132AC,ASAMST 132AC,directed,3
ASAMST 138,ASAMST 138,directed,3
ASAMST 143AC,ASAMST 143AC,directed,3
ASAMST 144,ASAMST 144,directed,3
ASAMST 145,ASAMST 145,directed,3
ASAMST 146,ASAMST 146,directed,3
ASAMST 171,ASAMST 171,directed,3
ASAMST 172,ASAMST 172,directed,3
ASAMST 173,ASAMST 173,directed,3
ASAMST 175,ASAMST 175,directed,3
ASAMST 176,ASAMST 176,directed,3
ASAMST 178,ASAMST 178,directed,3
ASAMST 181,ASAMST 181,directed,3
ASAMST 183,ASAMST 183,directed,3
ASAMST 190,ASAMST 190,directed,3
ASAMST 194A,ASAMST 194A,directed,3
ASAMST 194B,ASAMST 194B,directed,3
ASAMST 195,ASAMST 195,directed,3
ASAMST H195A,ASAMST H195A,directed,3
ASAMST H195B,ASAMST H195B,directed,3
ASAMST 197,ASAMST 197,directed,3
ASAMST 198,ASAMST 198,directed,3
ASAMST 199,ASAMST 199,directed,3
ASAMST R2A,ASAMST R2A,directed,3
ASAMST R2B,ASAMST R2B,directed,3
ASAMST 20AC,ASAMST 20AC,directed,3
ASAMST 20C,ASAMST 20C,directed,3
ASAMST W20AC,ASAMST W20AC,directed,3
ASAMST 24,ASAMST 24,directed,3
ASAMST 39,ASAMST 39,directed,3
ASAMST 97,ASAMST 97,directed,3
ASAMST 98,ASAMST 98,directed,3
ASAMST 99,ASAMST 99,directed,3
ASAMST 128AC,ASAMST 128AC,directed,3
ASAMST 131,ASAMST 131,directed,3
ASAMST 132,ASAMST 132,directed,3
ASAMST 132AC,ASAMST 132AC,directed,3
ASAMST 138,ASAMST 138,directed,3
ASAMST 143AC,ASAMST 143AC,directed,3
ASAMST 144,ASAMST 144,directed,3
ASAMST 145,ASAMST 145,directed,3
ASAMST 146,ASAMST 146,directed,3
ASAMST 171,ASAMST 171,directed,3
ASAMST 172,ASAMST 172,directed,3
ASAMST 173,ASAMST 173,directed,3
ASAMST 175,ASAMST 175,directed,3
ASAMST 176,ASAMST 176,directed,3
ASAMST 178,ASAMST 178,directed,3
ASAMST 181,ASAMST 181,directed,3
ASAMST 183,ASAMST 183,directed,3
ASAMST 190,ASAMST 190,directed,3
ASAMST 194A,ASAMST 194A,directed,3
ASAMST 194B,ASAMST 194B,directed,3
ASAMST 195,ASAMST 195,directed,3
ASAMST H195A,ASAMST H195A,directed,3
ASAMST H195B,ASAMST H195B,directed,3
ASAMST 197,ASAMST 197,directed,3
ASAMST 198,ASAMST 198,directed,3
ASAMST 199,ASAMST 199,directed,3
