name,size,about
CHM ENG C195A,1,After an introduction to the different aspects of our global energy consumption...
CHM ENG 196,1,Special laboratory or computational work under direction of one of the members ...
CHM ENG 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHM ENG 198,1,Supervised research on a specific topic. Enrollment is restricted; see Introduc...
CHM ENG 199,1, ...
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
CHM ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
CHM ENG 40,1,Design and analysis of processes involving chemical change. Strategies for desi...
CHM ENG 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
CHM ENG 90,1,An introduction is given to the science and technologies of producing electrici...
CHM ENG 98,1,Supervised research on a specific topic....
CHM ENG 98W,1,"Directed group study consisting of supplementary problem sets, review sessions,..."
CHM ENG 140,1,Material and energy balances applied to chemical process systems. Determination...
CHM ENG 141,1,Thermodynamic behavior of pure substances and mixtures. Properties of solutions...
CHM ENG 142,1,Analysis and prediction of rates of chemical conversion in flow and nonflow pro...
CHM ENG 143,1,The purpose of Chemical Engineering Modeling and Computations in Chemical Engin...
CHM ENG 150A,1,Principles of fluid mechanics and heat transfer with application to chemical pr...
CHM ENG 150B,1,Principles of mass transfer with application to chemical processes. Diffusion a...
CHM ENG 154,1,"Experiments in physical measurements, fluid mechanics, heat and mass transfer, ..."
CHM ENG 160,1,Design principles of chemical process equipment. Design of integrated chemical ...
CHM ENG 161S,1,"Design of chemical processes and equipment, with an emphasis on industry-sponso..."
CHM ENG 162,1,Analysis of the dynamic behavior of chemical processes and methods and theory o...
CHM ENG 170A,1,This course intends to introduce chemical engineers to the basic concepts of bi...
CHM ENG 170B,1,The second of a two-semester sequence intended to introduce chemical engineers ...
CHM ENG C170L,1,Laboratory techniques for the cultivation of microorganisms in batch and contin...
CHM ENG 171,1,"Study of momentum, energy, and mass transfer in laminar and turbulent flow...."
CHM ENG 176,1,"Principles and application of electrochemical equilibria, kinetics, and transpo..."
CHM ENG C178,1,"An interdisciplinary course on the synthesis, characterization, and properties ..."
CHM ENG 179,1,Chemical processing and properties of solid-state materials. Crystal growth and...
CHM ENG 180,1,"Optimal design of chemical processes and unit operations, emphasizing the inter..."
CHM ENG 182,1,This nanoscale science and biomolecular engineering course will cover emerging ...
CHM ENG H193,1,A senior honors thesis is written in consultation with the student's faculty re...
CHM ENG H194,1,Original research under direction of one of the members of the staff....
CHM ENG 195,1,Lectures and/or tutorial instruction on special topics. Please refer to the Not...
CHM ENG C195A,1,After an introduction to the different aspects of our global energy consumption...
CHM ENG 196,1,Special laboratory or computational work under direction of one of the members ...
CHM ENG 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHM ENG 198,1,Supervised research on a specific topic. Enrollment is restricted; see Introduc...
CHM ENG 199,1, ...
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
CHM ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
CHM ENG 40,1,Design and analysis of processes involving chemical change. Strategies for desi...
CHM ENG 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
CHM ENG 90,1,An introduction is given to the science and technologies of producing electrici...
CHM ENG 98,1,Supervised research on a specific topic....
CHM ENG 98W,1,"Directed group study consisting of supplementary problem sets, review sessions,..."
CHM ENG 140,1,Material and energy balances applied to chemical process systems. Determination...
CHM ENG 141,1,Thermodynamic behavior of pure substances and mixtures. Properties of solutions...
CHM ENG 142,1,Analysis and prediction of rates of chemical conversion in flow and nonflow pro...
CHM ENG 143,1,The purpose of Chemical Engineering Modeling and Computations in Chemical Engin...
CHM ENG 150A,1,Principles of fluid mechanics and heat transfer with application to chemical pr...
CHM ENG 150B,1,Principles of mass transfer with application to chemical processes. Diffusion a...
CHM ENG 154,1,"Experiments in physical measurements, fluid mechanics, heat and mass transfer, ..."
CHM ENG 160,1,Design principles of chemical process equipment. Design of integrated chemical ...
CHM ENG 161S,1,"Design of chemical processes and equipment, with an emphasis on industry-sponso..."
CHM ENG 162,1,Analysis of the dynamic behavior of chemical processes and methods and theory o...
CHM ENG 170A,1,This course intends to introduce chemical engineers to the basic concepts of bi...
CHM ENG 170B,1,The second of a two-semester sequence intended to introduce chemical engineers ...
CHM ENG C170L,1,Laboratory techniques for the cultivation of microorganisms in batch and contin...
CHM ENG 171,1,"Study of momentum, energy, and mass transfer in laminar and turbulent flow...."
CHM ENG 176,1,"Principles and application of electrochemical equilibria, kinetics, and transpo..."
CHM ENG C178,1,"An interdisciplinary course on the synthesis, characterization, and properties ..."
CHM ENG 179,1,Chemical processing and properties of solid-state materials. Crystal growth and...
CHM ENG 180,1,"Optimal design of chemical processes and unit operations, emphasizing the inter..."
CHM ENG 182,1,This nanoscale science and biomolecular engineering course will cover emerging ...
CHM ENG H193,1,A senior honors thesis is written in consultation with the student's faculty re...
CHM ENG H194,1,Original research under direction of one of the members of the staff....
CHM ENG 195,1,Lectures and/or tutorial instruction on special topics. Please refer to the Not...
CHM ENG C195A,1,After an introduction to the different aspects of our global energy consumption...
CHM ENG 196,1,Special laboratory or computational work under direction of one of the members ...
CHM ENG 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHM ENG 198,1,Supervised research on a specific topic. Enrollment is restricted; see Introduc...
CHM ENG 199,1, ...
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
CHM ENG 24,1,The Berkeley Seminar Program has been designed to provide new students with the...
CHM ENG 40,1,Design and analysis of processes involving chemical change. Strategies for desi...
CHM ENG 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
CHM ENG 90,1,An introduction is given to the science and technologies of producing electrici...
CHM ENG 98,1,Supervised research on a specific topic....
CHM ENG 98W,1,"Directed group study consisting of supplementary problem sets, review sessions,..."
CHM ENG 140,1,Material and energy balances applied to chemical process systems. Determination...
CHM ENG 141,1,Thermodynamic behavior of pure substances and mixtures. Properties of solutions...
CHM ENG 142,1,Analysis and prediction of rates of chemical conversion in flow and nonflow pro...
CHM ENG 143,1,The purpose of Chemical Engineering Modeling and Computations in Chemical Engin...
CHM ENG 150A,1,Principles of fluid mechanics and heat transfer with application to chemical pr...
CHM ENG 150B,1,Principles of mass transfer with application to chemical processes. Diffusion a...
CHM ENG 154,1,"Experiments in physical measurements, fluid mechanics, heat and mass transfer, ..."
CHM ENG 160,1,Design principles of chemical process equipment. Design of integrated chemical ...
CHM ENG 161S,1,"Design of chemical processes and equipment, with an emphasis on industry-sponso..."
CHM ENG 162,1,Analysis of the dynamic behavior of chemical processes and methods and theory o...
CHM ENG 170A,1,This course intends to introduce chemical engineers to the basic concepts of bi...
CHM ENG 170B,1,The second of a two-semester sequence intended to introduce chemical engineers ...
CHM ENG C170L,1,Laboratory techniques for the cultivation of microorganisms in batch and contin...
CHM ENG 171,1,"Study of momentum, energy, and mass transfer in laminar and turbulent flow...."
CHM ENG 176,1,"Principles and application of electrochemical equilibria, kinetics, and transpo..."
CHM ENG C178,1,"An interdisciplinary course on the synthesis, characterization, and properties ..."
CHM ENG 179,1,Chemical processing and properties of solid-state materials. Crystal growth and...
CHM ENG 180,1,"Optimal design of chemical processes and unit operations, emphasizing the inter..."
CHM ENG 182,1,This nanoscale science and biomolecular engineering course will cover emerging ...
CHM ENG H193,1,A senior honors thesis is written in consultation with the student's faculty re...
CHM ENG H194,1,Original research under direction of one of the members of the staff....
CHM ENG 195,1,Lectures and/or tutorial instruction on special topics. Please refer to the Not...
CHM ENG C195A,1,After an introduction to the different aspects of our global energy consumption...
CHM ENG 196,1,Special laboratory or computational work under direction of one of the members ...
CHM ENG 197,1,Supervised experience in off-campus organizations relevant to specific aspects ...
CHM ENG 198,1,Supervised research on a specific topic. Enrollment is restricted; see Introduc...
CHM ENG 199,1, ...
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
