source,target,type,weight
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
ITALIAN 4,ITALIAN 1R,directed,3
ITALIAN 4,ITALIAN 1S,directed,3
ITALIAN 1,ITALIAN 2,directed,3
ITALIAN 1,ITALIAN W2,directed,3
ITALIAN 2,ITALIAN 3,directed,3
ITALIAN 3,ITALIAN 4,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 4,ITALIAN R5B,directed,3
ITALIAN 2,ITALIAN 11,directed,3
ITALIAN 3,ITALIAN 12,directed,3
ITALIAN 3,ITALIAN N12,directed,3
ITALIAN 4,ITALIAN 101,directed,3
ITALIAN 4,ITALIAN 101A,directed,3
ITALIAN 4,ITALIAN 101B,directed,3
ITALIAN 101,ITALIAN 102,directed,3
ITALIAN 4,ITALIAN 105,directed,3
ITALIAN 101,ITALIAN 160,directed,3
