source,target,type,weight
BIO ENG 100,BIO ENG 100,directed,3
BIO ENG 101,BIO ENG 101,directed,3
BIO ENG 102,BIO ENG 102,directed,3
BIO ENG 103,BIO ENG 103,directed,3
BIO ENG 104,BIO ENG 104,directed,3
BIO ENG 105,BIO ENG 105,directed,3
BIO ENG C106A,BIO ENG C106A,directed,3
BIO ENG C106B,BIO ENG C106B,directed,3
BIO ENG 110,BIO ENG 110,directed,3
BIO ENG 111,BIO ENG 111,directed,3
BIO ENG C112,BIO ENG C112,directed,3
BIO ENG 113,BIO ENG 113,directed,3
BIO ENG 114,BIO ENG 114,directed,3
BIO ENG 115,BIO ENG 115,directed,3
BIO ENG 116,BIO ENG 116,directed,3
BIO ENG C117,BIO ENG C117,directed,3
BIO ENG C118,BIO ENG C118,directed,3
BIO ENG C119,BIO ENG C119,directed,3
BIO ENG 121,BIO ENG 121,directed,3
BIO ENG 121L,BIO ENG 121L,directed,3
BIO ENG 124,BIO ENG 124,directed,3
BIO ENG C125,BIO ENG C125,directed,3
BIO ENG C125B,BIO ENG C125B,directed,3
BIO ENG 131,BIO ENG 131,directed,3
BIO ENG C131,BIO ENG C131,directed,3
BIO ENG 132,BIO ENG 132,directed,3
BIO ENG 133,BIO ENG 133,directed,3
BIO ENG 134,BIO ENG 134,directed,3
BIO ENG 135,BIO ENG 135,directed,3
BIO ENG C136L,BIO ENG C136L,directed,3
BIO ENG C137,BIO ENG C137,directed,3
BIO ENG 140L,BIO ENG 140L,directed,3
BIO ENG 143,BIO ENG 143,directed,3
BIO ENG 144,BIO ENG 144,directed,3
BIO ENG 144L,BIO ENG 144L,directed,3
BIO ENG 145,BIO ENG 145,directed,3
BIO ENG C145L,BIO ENG C145L,directed,3
BIO ENG C145M,BIO ENG C145M,directed,3
BIO ENG 147,BIO ENG 147,directed,3
BIO ENG 148,BIO ENG 148,directed,3
BIO ENG 150,BIO ENG 150,directed,3
BIO ENG 151,BIO ENG 151,directed,3
BIO ENG 153,BIO ENG 153,directed,3
BIO ENG 163,BIO ENG 163,directed,3
BIO ENG 163L,BIO ENG 163L,directed,3
BIO ENG 164,BIO ENG 164,directed,3
BIO ENG C165,BIO ENG C165,directed,3
BIO ENG 168L,BIO ENG 168L,directed,3
BIO ENG C181,BIO ENG C181,directed,3
BIO ENG 190,BIO ENG 190,directed,3
BIO ENG 192,BIO ENG 192,directed,3
BIO ENG H194,BIO ENG H194,directed,3
BIO ENG 195,BIO ENG 195,directed,3
BIO ENG 196,BIO ENG 196,directed,3
BIO ENG 198,BIO ENG 198,directed,3
BIO ENG 199,BIO ENG 199,directed,3
BIO ENG 10,BIO ENG 10,directed,3
BIO ENG 11,BIO ENG 11,directed,3
BIO ENG 24,BIO ENG 24,directed,3
BIO ENG 25,BIO ENG 25,directed,3
BIO ENG 26,BIO ENG 26,directed,3
BIO ENG 84,BIO ENG 84,directed,3
BIO ENG 98,BIO ENG 98,directed,3
BIO ENG 99,BIO ENG 99,directed,3
BIO ENG 100,BIO ENG 100,directed,3
BIO ENG 101,BIO ENG 101,directed,3
BIO ENG 102,BIO ENG 102,directed,3
BIO ENG 103,BIO ENG 103,directed,3
BIO ENG 104,BIO ENG 104,directed,3
BIO ENG 105,BIO ENG 105,directed,3
BIO ENG C106A,BIO ENG C106A,directed,3
BIO ENG C106B,BIO ENG C106B,directed,3
BIO ENG 110,BIO ENG 110,directed,3
BIO ENG 111,BIO ENG 111,directed,3
BIO ENG C112,BIO ENG C112,directed,3
BIO ENG 113,BIO ENG 113,directed,3
BIO ENG 114,BIO ENG 114,directed,3
BIO ENG 115,BIO ENG 115,directed,3
BIO ENG 116,BIO ENG 116,directed,3
BIO ENG C117,BIO ENG C117,directed,3
BIO ENG C118,BIO ENG C118,directed,3
BIO ENG C119,BIO ENG C119,directed,3
BIO ENG 121,BIO ENG 121,directed,3
BIO ENG 121L,BIO ENG 121L,directed,3
BIO ENG 124,BIO ENG 124,directed,3
BIO ENG C125,BIO ENG C125,directed,3
BIO ENG C125B,BIO ENG C125B,directed,3
BIO ENG 131,BIO ENG 131,directed,3
BIO ENG C131,BIO ENG C131,directed,3
BIO ENG 132,BIO ENG 132,directed,3
BIO ENG 133,BIO ENG 133,directed,3
BIO ENG 134,BIO ENG 134,directed,3
BIO ENG 135,BIO ENG 135,directed,3
BIO ENG C136L,BIO ENG C136L,directed,3
BIO ENG C137,BIO ENG C137,directed,3
BIO ENG 140L,BIO ENG 140L,directed,3
BIO ENG 143,BIO ENG 143,directed,3
BIO ENG 144,BIO ENG 144,directed,3
BIO ENG 144L,BIO ENG 144L,directed,3
BIO ENG 145,BIO ENG 145,directed,3
BIO ENG C145L,BIO ENG C145L,directed,3
BIO ENG C145M,BIO ENG C145M,directed,3
BIO ENG 147,BIO ENG 147,directed,3
BIO ENG 148,BIO ENG 148,directed,3
BIO ENG 150,BIO ENG 150,directed,3
BIO ENG 151,BIO ENG 151,directed,3
BIO ENG 153,BIO ENG 153,directed,3
BIO ENG 163,BIO ENG 163,directed,3
BIO ENG 163L,BIO ENG 163L,directed,3
BIO ENG 164,BIO ENG 164,directed,3
BIO ENG C165,BIO ENG C165,directed,3
BIO ENG 168L,BIO ENG 168L,directed,3
BIO ENG C181,BIO ENG C181,directed,3
BIO ENG 190,BIO ENG 190,directed,3
BIO ENG 192,BIO ENG 192,directed,3
BIO ENG H194,BIO ENG H194,directed,3
BIO ENG 195,BIO ENG 195,directed,3
BIO ENG 196,BIO ENG 196,directed,3
BIO ENG 198,BIO ENG 198,directed,3
BIO ENG 199,BIO ENG 199,directed,3
BIO ENG 10,BIO ENG 10,directed,3
BIO ENG 11,BIO ENG 11,directed,3
BIO ENG 24,BIO ENG 24,directed,3
BIO ENG 25,BIO ENG 25,directed,3
BIO ENG 26,BIO ENG 26,directed,3
BIO ENG 84,BIO ENG 84,directed,3
BIO ENG 98,BIO ENG 98,directed,3
BIO ENG 99,BIO ENG 99,directed,3
BIO ENG 100,BIO ENG 100,directed,3
BIO ENG 101,BIO ENG 101,directed,3
BIO ENG 102,BIO ENG 102,directed,3
BIO ENG 103,BIO ENG 103,directed,3
BIO ENG 104,BIO ENG 104,directed,3
BIO ENG 105,BIO ENG 105,directed,3
BIO ENG C106A,BIO ENG C106A,directed,3
BIO ENG C106B,BIO ENG C106B,directed,3
BIO ENG 110,BIO ENG 110,directed,3
BIO ENG 111,BIO ENG 111,directed,3
BIO ENG C112,BIO ENG C112,directed,3
BIO ENG 113,BIO ENG 113,directed,3
BIO ENG 114,BIO ENG 114,directed,3
BIO ENG 115,BIO ENG 115,directed,3
BIO ENG 116,BIO ENG 116,directed,3
BIO ENG C117,BIO ENG C117,directed,3
BIO ENG C118,BIO ENG C118,directed,3
BIO ENG C119,BIO ENG C119,directed,3
BIO ENG 121,BIO ENG 121,directed,3
BIO ENG 121L,BIO ENG 121L,directed,3
BIO ENG 124,BIO ENG 124,directed,3
BIO ENG C125,BIO ENG C125,directed,3
BIO ENG C125B,BIO ENG C125B,directed,3
BIO ENG 131,BIO ENG 131,directed,3
BIO ENG C131,BIO ENG C131,directed,3
BIO ENG 132,BIO ENG 132,directed,3
BIO ENG 133,BIO ENG 133,directed,3
BIO ENG 134,BIO ENG 134,directed,3
BIO ENG 135,BIO ENG 135,directed,3
BIO ENG C136L,BIO ENG C136L,directed,3
BIO ENG C137,BIO ENG C137,directed,3
BIO ENG 140L,BIO ENG 140L,directed,3
BIO ENG 143,BIO ENG 143,directed,3
BIO ENG 144,BIO ENG 144,directed,3
BIO ENG 144L,BIO ENG 144L,directed,3
BIO ENG 145,BIO ENG 145,directed,3
BIO ENG C145L,BIO ENG C145L,directed,3
BIO ENG C145M,BIO ENG C145M,directed,3
BIO ENG 147,BIO ENG 147,directed,3
BIO ENG 148,BIO ENG 148,directed,3
BIO ENG 150,BIO ENG 150,directed,3
BIO ENG 151,BIO ENG 151,directed,3
BIO ENG 153,BIO ENG 153,directed,3
BIO ENG 163,BIO ENG 163,directed,3
BIO ENG 163L,BIO ENG 163L,directed,3
BIO ENG 164,BIO ENG 164,directed,3
BIO ENG C165,BIO ENG C165,directed,3
BIO ENG 168L,BIO ENG 168L,directed,3
BIO ENG C181,BIO ENG C181,directed,3
BIO ENG 190,BIO ENG 190,directed,3
BIO ENG 192,BIO ENG 192,directed,3
BIO ENG H194,BIO ENG H194,directed,3
BIO ENG 195,BIO ENG 195,directed,3
BIO ENG 196,BIO ENG 196,directed,3
BIO ENG 198,BIO ENG 198,directed,3
BIO ENG 199,BIO ENG 199,directed,3
BIO ENG 10,BIO ENG 10,directed,3
BIO ENG 11,BIO ENG 11,directed,3
BIO ENG 24,BIO ENG 24,directed,3
BIO ENG 25,BIO ENG 25,directed,3
BIO ENG 26,BIO ENG 26,directed,3
BIO ENG 84,BIO ENG 84,directed,3
BIO ENG 98,BIO ENG 98,directed,3
BIO ENG 99,BIO ENG 99,directed,3
BIO ENG 100,BIO ENG 100,directed,3
BIO ENG 101,BIO ENG 101,directed,3
BIO ENG 102,BIO ENG 102,directed,3
BIO ENG 103,BIO ENG 103,directed,3
BIO ENG 104,BIO ENG 104,directed,3
BIO ENG 105,BIO ENG 105,directed,3
BIO ENG C106A,BIO ENG C106A,directed,3
BIO ENG C106B,BIO ENG C106B,directed,3
BIO ENG 110,BIO ENG 110,directed,3
BIO ENG 111,BIO ENG 111,directed,3
BIO ENG C112,BIO ENG C112,directed,3
BIO ENG 113,BIO ENG 113,directed,3
BIO ENG 114,BIO ENG 114,directed,3
BIO ENG 115,BIO ENG 115,directed,3
BIO ENG 116,BIO ENG 116,directed,3
BIO ENG C117,BIO ENG C117,directed,3
BIO ENG C118,BIO ENG C118,directed,3
BIO ENG C119,BIO ENG C119,directed,3
BIO ENG 121,BIO ENG 121,directed,3
BIO ENG 121L,BIO ENG 121L,directed,3
BIO ENG 124,BIO ENG 124,directed,3
BIO ENG C125,BIO ENG C125,directed,3
BIO ENG C125B,BIO ENG C125B,directed,3
BIO ENG 131,BIO ENG 131,directed,3
BIO ENG C131,BIO ENG C131,directed,3
BIO ENG 132,BIO ENG 132,directed,3
BIO ENG 133,BIO ENG 133,directed,3
BIO ENG 134,BIO ENG 134,directed,3
BIO ENG 135,BIO ENG 135,directed,3
BIO ENG C136L,BIO ENG C136L,directed,3
BIO ENG C137,BIO ENG C137,directed,3
BIO ENG 140L,BIO ENG 140L,directed,3
BIO ENG 143,BIO ENG 143,directed,3
BIO ENG 144,BIO ENG 144,directed,3
BIO ENG 144L,BIO ENG 144L,directed,3
BIO ENG 145,BIO ENG 145,directed,3
BIO ENG C145L,BIO ENG C145L,directed,3
BIO ENG C145M,BIO ENG C145M,directed,3
BIO ENG 147,BIO ENG 147,directed,3
BIO ENG 148,BIO ENG 148,directed,3
BIO ENG 150,BIO ENG 150,directed,3
BIO ENG 151,BIO ENG 151,directed,3
BIO ENG 153,BIO ENG 153,directed,3
BIO ENG 163,BIO ENG 163,directed,3
BIO ENG 163L,BIO ENG 163L,directed,3
BIO ENG 164,BIO ENG 164,directed,3
BIO ENG C165,BIO ENG C165,directed,3
BIO ENG 168L,BIO ENG 168L,directed,3
BIO ENG C181,BIO ENG C181,directed,3
BIO ENG 190,BIO ENG 190,directed,3
BIO ENG 192,BIO ENG 192,directed,3
BIO ENG H194,BIO ENG H194,directed,3
BIO ENG 195,BIO ENG 195,directed,3
BIO ENG 196,BIO ENG 196,directed,3
BIO ENG 198,BIO ENG 198,directed,3
BIO ENG 199,BIO ENG 199,directed,3
