name,size,about
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016..."
EL ENG 25,1,Terms offered: Fall 2011...
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013..."
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015..."
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015..."
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016..."
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018..."
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017..."
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013..."
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016..."
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013..."
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012..."
EL ENG 146L,1,Terms offered: Spring 2015...
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018..."
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015..."
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018..."
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017..."
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016..."
EL ENG 25,1,Terms offered: Fall 2011...
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013..."
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015..."
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015..."
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016..."
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018..."
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017..."
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013..."
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016..."
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013..."
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012..."
EL ENG 146L,1,Terms offered: Spring 2015...
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018..."
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015..."
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018..."
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017..."
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016..."
EL ENG 25,1,Terms offered: Fall 2011...
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013..."
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015..."
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015..."
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016..."
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018..."
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017..."
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013..."
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016..."
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013..."
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012..."
EL ENG 146L,1,Terms offered: Spring 2015...
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018..."
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015..."
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018..."
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017..."
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
EL ENG 24,1,"Terms offered: Fall 2017, Spring 2017, Spring 2016..."
EL ENG 25,1,Terms offered: Fall 2011...
EL ENG 39,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 42,1,"Terms offered: Fall 2013, Summer 2013 8 Week Session, Spring 2013..."
EL ENG 49,1,"Terms offered: Spring 2020, Spring 2019, Fall 2018..."
EL ENG 84,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 97,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 98,1,"Terms offered: Fall 2016, Spring 2016, Fall 2015..."
EL ENG 99,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG 105,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG C106A,1,"Terms offered: Fall 2017, Fall 2016, Fall 2015..."
EL ENG C106B,1,"Terms offered: Spring 2017, Spring 2016..."
EL ENG 113,1,"Terms offered: Fall 2019, Spring 2019, Spring 2018..."
EL ENG 117,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 118,1,"Terms offered: Fall 2019, Spring 2019, Fall 2017..."
EL ENG 120,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 121,1,"Terms offered: Spring 2016, Fall 2014, Fall 2013..."
EL ENG 122,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 123,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 126,1,"Terms offered: Spring 2017, Fall 2016, Spring 2016..."
EL ENG C128,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 130,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 134,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 137A,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 137B,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 140,1,"Terms offered: Spring 2020, Fall 2019, Fall 2018..."
EL ENG 142,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 143,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
EL ENG 144,1,"Terms offered: Fall 2015, Fall 2014, Fall 2013..."
EL ENG C145B,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG C145L,1,"Terms offered: Fall 2014, Fall 2013, Fall 2012..."
EL ENG C145M,1,"Terms offered: Spring 2013, Spring 2012, Spring 2011..."
EL ENG C145O,1,"Terms offered: Spring 2015, Spring 2014, Spring 2013, Spring 2012..."
EL ENG 146L,1,Terms offered: Spring 2015...
EL ENG 147,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
EL ENG 192,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
EL ENG 194,1,"Terms offered: Spring 2020, Fall 2018, Spring 2018..."
EL ENG H196A,1,"Terms offered: Spring 2016, Fall 2015, Spring 2015..."
EL ENG H196B,1,"Terms offered: Spring 2016, Spring 2015, Spring 2014..."
EL ENG 197,1,"Terms offered: Spring 2018, Spring 2016, Fall 2015..."
EL ENG 198,1,"Terms offered: Spring 2019, Fall 2018, Spring 2018..."
EL ENG 199,1,"Terms offered: Fall 2018, Spring 2018, Fall 2017..."
MAT SCI 24,1,The Freshman Seminar Program has been designed to provide new students with the...
MAT SCI 45,1,Application of basic principles of physics and chemistry to the engineering pro...
MAT SCI 45L,1,This course presents laboratory applications of the basic principles introduced...
MAT SCI 102,1,"Bonding in solids; classification of metals, semiconductors, and insulators; cr..."
MAT SCI 103,1,"The nature, mechanisms, and kinetics of phase transformations and microstructur..."
MAT SCI 104,1,This 3-unit course will cover basic principles and techniques used for the char...
MAT SCI 104L,1,"This 1-unit laboratory course covers X-ray diffraction (XRD), scanning electron..."
MAT SCI 111,1,Introduction to the physical principles underlying the electric properties of m...
MAT SCI 112,1,Electrochemical theory of corrosion. Mechanisms and rates in relation to physio...
MAT SCI 113,1,This course covers elastic and plastic deformation under static and dynamic loa...
MAT SCI 117,1,Introduction to the physical principles underlying the dielectric and magnetic ...
MAT SCI C118,1,This course is intended to give students the opportunity to expand their knowle...
MAT SCI 120,1,Economic and technological significance of metals and other materials. Elementa...
MAT SCI 121,1,The principles of metals processing with emphasis on the use of processing to e...
MAT SCI 122,1,"Powder fabrication by grinding and chemical methods, rheological behavior of po..."
MAT SCI 123,1,This 4-unit course starts with a brief review of the fundamentals of solid-stat...
MAT SCI 125,1,"Deposition, processing, and characterization of thin films and their technologi..."
MAT SCI 130,1,This course provides a culminating experience for students approaching completi...
MAT SCI 136,1,"In many, if not all, technologies, it is materials that play a crucial, enablin..."
MAT SCI 140,1,This course introduces the fundamental principles needed to understand the beha...
MAT SCI C150,1,The application of basic chemical principles to problems in materials discovery...
MAT SCI 151,1,This course is designed for upper division undergraduate and graduate students ...
MAT SCI H194,1,Students who have completed a satisfactory number of advanced courses with a gr...
MAT SCI 195,1,Group study of special topics in materials science and engineering. Selection o...
MAT SCI 198,1,Group studies of selected topics....
MAT SCI 199,1,Supervised independent study. Enrollment restrictions apply; see the Introducti...
