source,target,type,weight
CIV ENG 11,CIV ENG 11,directed,3
CIV ENG 24,CIV ENG 24,directed,3
CIV ENG C30,CIV ENG C30,directed,3
CIV ENG W30,CIV ENG W30,directed,3
CIV ENG 60,CIV ENG 60,directed,3
CIV ENG 70,CIV ENG 70,directed,3
CIV ENG 88B,CIV ENG 88B,directed,3
CIV ENG C88,CIV ENG C88,directed,3
CIV ENG 92,CIV ENG 92,directed,3
CIV ENG 93,CIV ENG 93,directed,3
CIV ENG 98,CIV ENG 98,directed,3
CIV ENG 99,CIV ENG 99,directed,3
CIV ENG 100,CIV ENG 100,directed,3
CIV ENG 101,CIV ENG 101,directed,3
CIV ENG 103,CIV ENG 103,directed,3
CIV ENG C103N,CIV ENG C103N,directed,3
CIV ENG 105,CIV ENG 105,directed,3
CIV ENG C106,CIV ENG C106,directed,3
CIV ENG 107,CIV ENG 107,directed,3
CIV ENG 110,CIV ENG 110,directed,3
CIV ENG 111,CIV ENG 111,directed,3
CIV ENG 111L,CIV ENG 111L,directed,3
CIV ENG 112,CIV ENG 112,directed,3
CIV ENG 113,CIV ENG 113,directed,3
CIV ENG 114,CIV ENG 114,directed,3
CIV ENG 115,CIV ENG 115,directed,3
CIV ENG C116,CIV ENG C116,directed,3
CIV ENG 120,CIV ENG 120,directed,3
CIV ENG 121,CIV ENG 121,directed,3
CIV ENG 122L,CIV ENG 122L,directed,3
CIV ENG 122N,CIV ENG 122N,directed,3
CIV ENG 123L,CIV ENG 123L,directed,3
CIV ENG 123N,CIV ENG 123N,directed,3
CIV ENG 124,CIV ENG 124,directed,3
CIV ENG 126,CIV ENG 126,directed,3
CIV ENG 130N,CIV ENG 130N,directed,3
CIV ENG 132,CIV ENG 132,directed,3
CIV ENG C133,CIV ENG C133,directed,3
CIV ENG 140,CIV ENG 140,directed,3
CIV ENG 153,CIV ENG 153,directed,3
CIV ENG 155,CIV ENG 155,directed,3
CIV ENG 156,CIV ENG 156,directed,3
CIV ENG 165,CIV ENG 165,directed,3
CIV ENG 166,CIV ENG 166,directed,3
CIV ENG 167,CIV ENG 167,directed,3
CIV ENG 171,CIV ENG 171,directed,3
CIV ENG 173,CIV ENG 173,directed,3
CIV ENG 174,CIV ENG 174,directed,3
CIV ENG 175,CIV ENG 175,directed,3
CIV ENG 176,CIV ENG 176,directed,3
CIV ENG 177,CIV ENG 177,directed,3
CIV ENG C178,CIV ENG C178,directed,3
CIV ENG 179,CIV ENG 179,directed,3
CIV ENG 180,CIV ENG 180,directed,3
CIV ENG 186,CIV ENG 186,directed,3
CIV ENG 190,CIV ENG 190,directed,3
CIV ENG 191,CIV ENG 191,directed,3
CIV ENG 192,CIV ENG 192,directed,3
CIV ENG 193,CIV ENG 193,directed,3
CIV ENG H194,CIV ENG H194,directed,3
CIV ENG 197,CIV ENG 197,directed,3
CIV ENG 198,CIV ENG 198,directed,3
CIV ENG 199,CIV ENG 199,directed,3
CIV ENG 11,CIV ENG 11,directed,3
CIV ENG 24,CIV ENG 24,directed,3
CIV ENG C30,CIV ENG C30,directed,3
CIV ENG W30,CIV ENG W30,directed,3
CIV ENG 60,CIV ENG 60,directed,3
CIV ENG 70,CIV ENG 70,directed,3
CIV ENG 88B,CIV ENG 88B,directed,3
CIV ENG C88,CIV ENG C88,directed,3
CIV ENG 92,CIV ENG 92,directed,3
CIV ENG 93,CIV ENG 93,directed,3
CIV ENG 98,CIV ENG 98,directed,3
CIV ENG 99,CIV ENG 99,directed,3
CIV ENG 100,CIV ENG 100,directed,3
CIV ENG 101,CIV ENG 101,directed,3
CIV ENG 103,CIV ENG 103,directed,3
CIV ENG C103N,CIV ENG C103N,directed,3
CIV ENG 105,CIV ENG 105,directed,3
CIV ENG C106,CIV ENG C106,directed,3
CIV ENG 107,CIV ENG 107,directed,3
CIV ENG 110,CIV ENG 110,directed,3
CIV ENG 111,CIV ENG 111,directed,3
CIV ENG 111L,CIV ENG 111L,directed,3
CIV ENG 112,CIV ENG 112,directed,3
CIV ENG 113,CIV ENG 113,directed,3
CIV ENG 114,CIV ENG 114,directed,3
CIV ENG 115,CIV ENG 115,directed,3
CIV ENG C116,CIV ENG C116,directed,3
CIV ENG 120,CIV ENG 120,directed,3
CIV ENG 121,CIV ENG 121,directed,3
CIV ENG 122L,CIV ENG 122L,directed,3
CIV ENG 122N,CIV ENG 122N,directed,3
CIV ENG 123L,CIV ENG 123L,directed,3
CIV ENG 123N,CIV ENG 123N,directed,3
CIV ENG 124,CIV ENG 124,directed,3
CIV ENG 126,CIV ENG 126,directed,3
CIV ENG 130N,CIV ENG 130N,directed,3
CIV ENG 132,CIV ENG 132,directed,3
CIV ENG C133,CIV ENG C133,directed,3
CIV ENG 140,CIV ENG 140,directed,3
CIV ENG 153,CIV ENG 153,directed,3
CIV ENG 155,CIV ENG 155,directed,3
CIV ENG 156,CIV ENG 156,directed,3
CIV ENG 165,CIV ENG 165,directed,3
CIV ENG 166,CIV ENG 166,directed,3
CIV ENG 167,CIV ENG 167,directed,3
CIV ENG 171,CIV ENG 171,directed,3
CIV ENG 173,CIV ENG 173,directed,3
CIV ENG 174,CIV ENG 174,directed,3
CIV ENG 175,CIV ENG 175,directed,3
CIV ENG 176,CIV ENG 176,directed,3
CIV ENG 177,CIV ENG 177,directed,3
CIV ENG C178,CIV ENG C178,directed,3
CIV ENG 179,CIV ENG 179,directed,3
CIV ENG 180,CIV ENG 180,directed,3
CIV ENG 186,CIV ENG 186,directed,3
CIV ENG 190,CIV ENG 190,directed,3
CIV ENG 191,CIV ENG 191,directed,3
CIV ENG 192,CIV ENG 192,directed,3
CIV ENG 193,CIV ENG 193,directed,3
CIV ENG H194,CIV ENG H194,directed,3
CIV ENG 197,CIV ENG 197,directed,3
CIV ENG 198,CIV ENG 198,directed,3
CIV ENG 199,CIV ENG 199,directed,3
CIV ENG 11,CIV ENG 11,directed,3
CIV ENG 24,CIV ENG 24,directed,3
CIV ENG C30,CIV ENG C30,directed,3
CIV ENG W30,CIV ENG W30,directed,3
CIV ENG 60,CIV ENG 60,directed,3
CIV ENG 70,CIV ENG 70,directed,3
CIV ENG 88B,CIV ENG 88B,directed,3
CIV ENG C88,CIV ENG C88,directed,3
CIV ENG 92,CIV ENG 92,directed,3
CIV ENG 93,CIV ENG 93,directed,3
CIV ENG 98,CIV ENG 98,directed,3
CIV ENG 99,CIV ENG 99,directed,3
CIV ENG 100,CIV ENG 100,directed,3
CIV ENG 101,CIV ENG 101,directed,3
CIV ENG 103,CIV ENG 103,directed,3
CIV ENG C103N,CIV ENG C103N,directed,3
CIV ENG 105,CIV ENG 105,directed,3
CIV ENG C106,CIV ENG C106,directed,3
CIV ENG 107,CIV ENG 107,directed,3
CIV ENG 110,CIV ENG 110,directed,3
CIV ENG 111,CIV ENG 111,directed,3
CIV ENG 111L,CIV ENG 111L,directed,3
CIV ENG 112,CIV ENG 112,directed,3
CIV ENG 113,CIV ENG 113,directed,3
CIV ENG 114,CIV ENG 114,directed,3
CIV ENG 115,CIV ENG 115,directed,3
CIV ENG C116,CIV ENG C116,directed,3
CIV ENG 120,CIV ENG 120,directed,3
CIV ENG 121,CIV ENG 121,directed,3
CIV ENG 122L,CIV ENG 122L,directed,3
CIV ENG 122N,CIV ENG 122N,directed,3
CIV ENG 123L,CIV ENG 123L,directed,3
