source,target,type,weight
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
CHM ENG 24,CHM ENG 24,directed,3
CHM ENG 40,CHM ENG 40,directed,3
CHM ENG 84,CHM ENG 84,directed,3
CHM ENG 90,CHM ENG 90,directed,3
CHM ENG 98,CHM ENG 98,directed,3
CHM ENG 98W,CHM ENG 98W,directed,3
CHM ENG 140,CHM ENG 140,directed,3
CHM ENG 141,CHM ENG 141,directed,3
CHM ENG 142,CHM ENG 142,directed,3
CHM ENG 143,CHM ENG 143,directed,3
CHM ENG 150A,CHM ENG 150A,directed,3
CHM ENG 150B,CHM ENG 150B,directed,3
CHM ENG 154,CHM ENG 154,directed,3
CHM ENG 160,CHM ENG 160,directed,3
CHM ENG 161S,CHM ENG 161S,directed,3
CHM ENG 162,CHM ENG 162,directed,3
CHM ENG 170A,CHM ENG 170A,directed,3
CHM ENG 170B,CHM ENG 170B,directed,3
CHM ENG C170L,CHM ENG C170L,directed,3
CHM ENG 171,CHM ENG 171,directed,3
CHM ENG 176,CHM ENG 176,directed,3
CHM ENG C178,CHM ENG C178,directed,3
CHM ENG 179,CHM ENG 179,directed,3
CHM ENG 180,CHM ENG 180,directed,3
CHM ENG 182,CHM ENG 182,directed,3
CHM ENG H193,CHM ENG H193,directed,3
CHM ENG H194,CHM ENG H194,directed,3
CHM ENG 195,CHM ENG 195,directed,3
CHM ENG C195A,CHM ENG C195A,directed,3
CHM ENG 196,CHM ENG 196,directed,3
CHM ENG 197,CHM ENG 197,directed,3
CHM ENG 198,CHM ENG 198,directed,3
CHM ENG 199,CHM ENG 199,directed,3
NUC ENG 24,NUC ENG 24,directed,3
NUC ENG 100,NUC ENG 100,directed,3
NUC ENG 101,NUC ENG 101,directed,3
NUC ENG 102,NUC ENG 102,directed,3
NUC ENG 104,NUC ENG 104,directed,3
NUC ENG 107,NUC ENG 107,directed,3
NUC ENG 120,NUC ENG 120,directed,3
NUC ENG 124,NUC ENG 124,directed,3
NUC ENG 130,NUC ENG 130,directed,3
NUC ENG 150,NUC ENG 150,directed,3
NUC ENG 155,NUC ENG 155,directed,3
NUC ENG 156,NUC ENG 156,directed,3
NUC ENG 161,NUC ENG 161,directed,3
NUC ENG 162,NUC ENG 162,directed,3
NUC ENG 167,NUC ENG 167,directed,3
NUC ENG 170A,NUC ENG 170A,directed,3
NUC ENG 170B,NUC ENG 170B,directed,3
NUC ENG 175,NUC ENG 175,directed,3
NUC ENG 180,NUC ENG 180,directed,3
NUC ENG H194,NUC ENG H194,directed,3
NUC ENG 198,NUC ENG 198,directed,3
NUC ENG 199,NUC ENG 199,directed,3
NUC ENG S199,NUC ENG S199,directed,3
