source,target,type,weight
GWS N1B,GWS N1B,directed,3
GWS R1B,GWS R1B,directed,3
GWS 14,GWS 14,directed,3
GWS 24,GWS 24,directed,3
GWS 39A,GWS 39A,directed,3
GWS 40,GWS 40,directed,3
GWS 50AC,GWS 50AC,directed,3
GWS 84,GWS 84,directed,3
GWS 97,GWS 97,directed,3
GWS 98,GWS 98,directed,3
GWS 99,GWS 99,directed,3
GWS 100AC,GWS 100AC,directed,3
GWS 102,GWS 102,directed,3
GWS 111,GWS 111,directed,3
GWS 115,GWS 115,directed,3
GWS 116AC,GWS 116AC,directed,3
GWS 120,GWS 120,directed,3
GWS 126,GWS 126,directed,3
GWS 129,GWS 129,directed,3
GWS 130AC,GWS 130AC,directed,3
GWS 131,GWS 131,directed,3
GWS 132AC,GWS 132AC,directed,3
GWS 133AC,GWS 133AC,directed,3
GWS 134,GWS 134,directed,3
GWS C138,GWS C138,directed,3
GWS 139,GWS 139,directed,3
GWS 140,GWS 140,directed,3
GWS 141,GWS 141,directed,3
GWS 142,GWS 142,directed,3
GWS 143,GWS 143,directed,3
GWS 144,GWS 144,directed,3
GWS C146A,GWS C146A,directed,3
GWS C146B,GWS C146B,directed,3
GWS 155,GWS 155,directed,3
GWS H195,GWS H195,directed,3
GWS C196W,GWS C196W,directed,3
GWS 197,GWS 197,directed,3
GWS 198,GWS 198,directed,3
GWS 199,GWS 199,directed,3
LGBT 20AC,LGBT 20AC,directed,3
LGBT 98,LGBT 98,directed,3
LGBT 100,LGBT 100,directed,3
LGBT 145,LGBT 145,directed,3
LGBT 146,LGBT 146,directed,3
LGBT C146A,LGBT C146A,directed,3
LGBT C146B,LGBT C146B,directed,3
LGBT C147B,LGBT C147B,directed,3
LGBT C148,LGBT C148,directed,3
LGBT 198,LGBT 198,directed,3
GWS N1B,GWS N1B,directed,3
GWS R1B,GWS R1B,directed,3
GWS 14,GWS 14,directed,3
GWS 24,GWS 24,directed,3
GWS 39A,GWS 39A,directed,3
GWS 40,GWS 40,directed,3
GWS 50AC,GWS 50AC,directed,3
GWS 84,GWS 84,directed,3
GWS 97,GWS 97,directed,3
GWS 98,GWS 98,directed,3
GWS 99,GWS 99,directed,3
GWS 100AC,GWS 100AC,directed,3
GWS 102,GWS 102,directed,3
GWS 111,GWS 111,directed,3
GWS 115,GWS 115,directed,3
GWS 116AC,GWS 116AC,directed,3
GWS 120,GWS 120,directed,3
GWS 126,GWS 126,directed,3
GWS 129,GWS 129,directed,3
GWS 130AC,GWS 130AC,directed,3
GWS 131,GWS 131,directed,3
