source,target,type,weight
PHILOS R1B,PHILOS R1B,directed,3
PHILOS 3,PHILOS 3,directed,3
PHILOS 4,PHILOS 4,directed,3
PHILOS 5,PHILOS 5,directed,3
PHILOS 6,PHILOS 6,directed,3
PHILOS 7,PHILOS 7,directed,3
PHILOS 10,PHILOS 10,directed,3
PHILOS 11,PHILOS 11,directed,3
PHILOS W12A,PHILOS W12A,directed,3
PHILOS 13,PHILOS 13,directed,3
PHILOS 16,PHILOS 16,directed,3
PHILOS 17,PHILOS 17,directed,3
PHILOS 18,PHILOS 18,directed,3
PHILOS 24,PHILOS 24,directed,3
PHILOS 25B,PHILOS 25B,directed,3
PHILOS 39,PHILOS 39,directed,3
PHILOS 84,PHILOS 84,directed,3
PHILOS 98,PHILOS 98,directed,3
PHILOS 98BC,PHILOS 98BC,directed,3
PHILOS 104,PHILOS 104,directed,3
PHILOS 107,PHILOS 107,directed,3
PHILOS 109,PHILOS 109,directed,3
PHILOS 110,PHILOS 110,directed,3
PHILOS 112,PHILOS 112,directed,3
PHILOS 114,PHILOS 114,directed,3
PHILOS 117AC,PHILOS 117AC,directed,3
PHILOS 119,PHILOS 119,directed,3
PHILOS 121,PHILOS 121,directed,3
PHILOS 122,PHILOS 122,directed,3
PHILOS 125,PHILOS 125,directed,3
PHILOS 127,PHILOS 127,directed,3
PHILOS 128,PHILOS 128,directed,3
PHILOS 132,PHILOS 132,directed,3
PHILOS C132,PHILOS C132,directed,3
PHILOS 135,PHILOS 135,directed,3
PHILOS 136,PHILOS 136,directed,3
PHILOS 138,PHILOS 138,directed,3
PHILOS 140A,PHILOS 140A,directed,3
PHILOS 141,PHILOS 141,directed,3
PHILOS 142,PHILOS 142,directed,3
PHILOS 146,PHILOS 146,directed,3
PHILOS 149,PHILOS 149,directed,3
PHILOS 151,PHILOS 151,directed,3
PHILOS 153,PHILOS 153,directed,3
PHILOS 155,PHILOS 155,directed,3
PHILOS 156A,PHILOS 156A,directed,3
PHILOS 160,PHILOS 160,directed,3
PHILOS 161,PHILOS 161,directed,3
PHILOS 170,PHILOS 170,directed,3
PHILOS 171,PHILOS 171,directed,3
PHILOS 172,PHILOS 172,directed,3
PHILOS 173,PHILOS 173,directed,3
PHILOS 176,PHILOS 176,directed,3
PHILOS 178,PHILOS 178,directed,3
PHILOS 181,PHILOS 181,directed,3
PHILOS 183,PHILOS 183,directed,3
PHILOS 184,PHILOS 184,directed,3
PHILOS 185,PHILOS 185,directed,3
PHILOS 186B,PHILOS 186B,directed,3
PHILOS 187,PHILOS 187,directed,3
PHILOS 188,PHILOS 188,directed,3
PHILOS N188,PHILOS N188,directed,3
PHILOS 189,PHILOS 189,directed,3
PHILOS 190,PHILOS 190,directed,3
PHILOS H195,PHILOS H195,directed,3
PHILOS 198,PHILOS 198,directed,3
PHILOS 198BC,PHILOS 198BC,directed,3
PHILOS 199,PHILOS 199,directed,3
PHILOS R1B,PHILOS R1B,directed,3
PHILOS 3,PHILOS 3,directed,3
PHILOS 4,PHILOS 4,directed,3
PHILOS 5,PHILOS 5,directed,3
PHILOS 6,PHILOS 6,directed,3
PHILOS 7,PHILOS 7,directed,3
PHILOS 10,PHILOS 10,directed,3
PHILOS 11,PHILOS 11,directed,3
PHILOS W12A,PHILOS W12A,directed,3
PHILOS 13,PHILOS 13,directed,3
PHILOS 16,PHILOS 16,directed,3
PHILOS 17,PHILOS 17,directed,3
PHILOS 18,PHILOS 18,directed,3
PHILOS 24,PHILOS 24,directed,3
PHILOS 25B,PHILOS 25B,directed,3
PHILOS 39,PHILOS 39,directed,3
