name,size,about
PB HLTH H195A,1,Required for students intending to complete an honors thesis in their senior ye...
PB HLTH 196,1,Special topics in various fields of Public Health. Topics covered will vary fro...
PB HLTH 197,1,Supervised experience relevant to specific aspects of public health in off-camp...
PB HLTH 198,1, ...
PB HLTH 199,1,Enrollment restrictions apply; see the Introduction to Courses and Curricula se...
PB HLTH 14,1,"Introduction to personal and community health, drawing on physical and social s..."
PB HLTH 15,1,This seminar provides an overview of the intersection between global health and...
PB HLTH 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
PB HLTH 98,1, ...
PB HLTH 99,1, ...
PB HLTH 101,1,Human activity and human numbers threaten the possibility of irreversible damag...
PB HLTH 104A,1,"Topics include health promotion, medical self-care, and delivery of health care..."
PB HLTH 104B,1,"Topics include health promotion, medical self-care, and delivery of health care..."
PB HLTH 107,1,"This course addresses violence as a public health issue, using an interdiscipli..."
PB HLTH W108,1,The course will provide core knowledge and skills from several disciplines on h...
PB HLTH 112,1,This course examines health at the individual and community/global level by exa...
PB HLTH N112,1,This course examines health at the individual and community/global level by exa...
PB HLTH 116,1,This course offers an introduction to issues and perspectives related to health...
PB HLTH C117,1,This course prepares students to conduct a 10-week global health research proje...
PB HLTH 118,1,We will focus on low- and middle-income countries because they experience the g...
PB HLTH 126,1,This course focuses on a selected set of the major health policy issues and use...
PB HLTH 129,1,"The course will survey the field of the human brain, with introductory lectures..."
PB HLTH 130,1,This course will give you the opportunity to build upon your understanding of t...
PB HLTH 141,1,An intensive introductory course in statistical methods used in applied researc...
PB HLTH 142,1,"Descriptive statistics, probability, probability distributions, point and inter..."
PB HLTH W142,1,"Descriptive statistics, probability, probability distributions, point and inter..."
PB HLTH 144A,1,This course is intended to serve as an introduction to the SAS programming lang...
PB HLTH 144B,1,"Topics include data step flow control, looping and automated processing, implic..."
PB HLTH 145,1,Regression models for continuous outcome data: least squares estimates and thei...
PB HLTH 147,1,There are four facets to the course. 1) Core knowledge of the epidemiology of t...
PB HLTH 150A,1,This course introduces epidemiological methods with the goal of teaching studen...
PB HLTH 150B,1,The course will present the major human and natural activities that lead to rel...
PB HLTH 150D,1,This course is intended to introduce students to health policy making and healt...
PB HLTH 150E,1,"This course will consist of a survey of the major social, cultural, and bio-beh..."
PB HLTH C155,1,"This course covers several topics, including distributive justice in health car..."
PB HLTH C160,1,The health effects of environmental alterations caused by development programs ...
PB HLTH 162A,1,Introduction to properties of microorganisms; their relationships with humans i...
PB HLTH 162L,1,"This laboratory course was designed to accompany PH162A, Public Health microbio..."
PB HLTH 170C,1,"The course covers monitoring, control and regulatory policy of microbial, chemi..."
PB HLTH 181,1,"Globally one million more births than deaths occur every 112 hours, 90% in the ..."
PB HLTH 188,1,This course explores the development of innovations to improve the health of po...
PB HLTH H195A,1,Required for students intending to complete an honors thesis in their senior ye...
PB HLTH 196,1,Special topics in various fields of Public Health. Topics covered will vary fro...
PB HLTH 197,1,Supervised experience relevant to specific aspects of public health in off-camp...
PB HLTH 198,1, ...
PB HLTH 199,1,Enrollment restrictions apply; see the Introduction to Courses and Curricula se...
PB HLTH 14,1,"Introduction to personal and community health, drawing on physical and social s..."
PB HLTH 15,1,This seminar provides an overview of the intersection between global health and...
PB HLTH 84,1,Sophomore seminars are small interactive courses offered by faculty members in ...
PB HLTH 98,1, ...
PB HLTH 99,1, ...
PB HLTH 101,1,Human activity and human numbers threaten the possibility of irreversible damag...
PB HLTH 104A,1,"Topics include health promotion, medical self-care, and delivery of health care..."
PB HLTH 104B,1,"Topics include health promotion, medical self-care, and delivery of health care..."
PB HLTH 107,1,"This course addresses violence as a public health issue, using an interdiscipli..."
PB HLTH W108,1,The course will provide core knowledge and skills from several disciplines on h...
PB HLTH 112,1,This course examines health at the individual and community/global level by exa...
PB HLTH N112,1,This course examines health at the individual and community/global level by exa...
PB HLTH 116,1,This course offers an introduction to issues and perspectives related to health...
PB HLTH C117,1,This course prepares students to conduct a 10-week global health research proje...
PB HLTH 118,1,We will focus on low- and middle-income countries because they experience the g...
PB HLTH 126,1,This course focuses on a selected set of the major health policy issues and use...
PB HLTH 129,1,"The course will survey the field of the human brain, with introductory lectures..."
PB HLTH 130,1,This course will give you the opportunity to build upon your understanding of t...
PB HLTH 141,1,An intensive introductory course in statistical methods used in applied researc...
PB HLTH 142,1,"Descriptive statistics, probability, probability distributions, point and inter..."
PB HLTH W142,1,"Descriptive statistics, probability, probability distributions, point and inter..."
PB HLTH 144A,1,This course is intended to serve as an introduction to the SAS programming lang...
PB HLTH 144B,1,"Topics include data step flow control, looping and automated processing, implic..."
PB HLTH 145,1,Regression models for continuous outcome data: least squares estimates and thei...
PB HLTH 147,1,There are four facets to the course. 1) Core knowledge of the epidemiology of t...
PB HLTH 150A,1,This course introduces epidemiological methods with the goal of teaching studen...
PB HLTH 150B,1,The course will present the major human and natural activities that lead to rel...
PB HLTH 150D,1,This course is intended to introduce students to health policy making and healt...
PB HLTH 150E,1,"This course will consist of a survey of the major social, cultural, and bio-beh..."
PB HLTH C155,1,"This course covers several topics, including distributive justice in health car..."
PB HLTH C160,1,The health effects of environmental alterations caused by development programs ...
PB HLTH 162A,1,Introduction to properties of microorganisms; their relationships with humans i...
PB HLTH 162L,1,"This laboratory course was designed to accompany PH162A, Public Health microbio..."
PB HLTH 170C,1,"The course covers monitoring, control and regulatory policy of microbial, chemi..."
PB HLTH 181,1,"Globally one million more births than deaths occur every 112 hours, 90% in the ..."
PB HLTH 188,1,This course explores the development of innovations to improve the health of po...
PB HLTH H195A,1,Required for students intending to complete an honors thesis in their senior ye...
PB HLTH 196,1,Special topics in various fields of Public Health. Topics covered will vary fro...
PB HLTH 197,1,Supervised experience relevant to specific aspects of public health in off-camp...
PB HLTH 198,1, ...
PB HLTH 199,1,Enrollment restrictions apply; see the Introduction to Courses and Curricula se...
