source,target,type,weight
CLASSIC 10A,CLASSIC 10A,directed,3
CLASSIC 10B,CLASSIC 10B,directed,3
CLASSIC 24,CLASSIC 24,directed,3
CLASSIC 28,CLASSIC 28,directed,3
CLASSIC N28,CLASSIC N28,directed,3
CLASSIC 29,CLASSIC 29,directed,3
CLASSIC 34,CLASSIC 34,directed,3
CLASSIC 35,CLASSIC 35,directed,3
CLASSIC 39A,CLASSIC 39A,directed,3
CLASSIC 39B,CLASSIC 39B,directed,3
CLASSIC 39D,CLASSIC 39D,directed,3
CLASSIC 39K,CLASSIC 39K,directed,3
CLASSIC R44,CLASSIC R44,directed,3
CLASSIC 50,CLASSIC 50,directed,3
CLASSIC 98,CLASSIC 98,directed,3
CLASSIC 99,CLASSIC 99,directed,3
CLASSIC 121,CLASSIC 121,directed,3
CLASSIC 124,CLASSIC 124,directed,3
CLASSIC 130,CLASSIC 130,directed,3
CLASSIC 130A,CLASSIC 130A,directed,3
CLASSIC 130B,CLASSIC 130B,directed,3
CLASSIC 130C,CLASSIC 130C,directed,3
CLASSIC 130D,CLASSIC 130D,directed,3
CLASSIC 130E,CLASSIC 130E,directed,3
CLASSIC 130F,CLASSIC 130F,directed,3
CLASSIC 130G,CLASSIC 130G,directed,3
CLASSIC 130H,CLASSIC 130H,directed,3
CLASSIC 130I,CLASSIC 130I,directed,3
CLASSIC 130J,CLASSIC 130J,directed,3
CLASSIC 130K,CLASSIC 130K,directed,3
CLASSIC 130L,CLASSIC 130L,directed,3
CLASSIC 130M,CLASSIC 130M,directed,3
CLASSIC 130N,CLASSIC 130N,directed,3
CLASSIC 130P,CLASSIC 130P,directed,3
CLASSIC 161,CLASSIC 161,directed,3
CLASSIC 170A,CLASSIC 170A,directed,3
CLASSIC 170C,CLASSIC 170C,directed,3
CLASSIC 170D,CLASSIC 170D,directed,3
CLASSIC 172,CLASSIC 172,directed,3
CLASSIC 175A,CLASSIC 175A,directed,3
CLASSIC 175D,CLASSIC 175D,directed,3
CLASSIC 175F,CLASSIC 175F,directed,3
CLASSIC 175G,CLASSIC 175G,directed,3
CLASSIC C175F,CLASSIC C175F,directed,3
CLASSIC 180,CLASSIC 180,directed,3
CLASSIC H195A,CLASSIC H195A,directed,3
CLASSIC H195B,CLASSIC H195B,directed,3
CLASSIC 198,CLASSIC 198,directed,3
CLASSIC 199,CLASSIC 199,directed,3
CLASSIC 10A,CLASSIC 10A,directed,3
CLASSIC 10B,CLASSIC 10B,directed,3
CLASSIC 24,CLASSIC 24,directed,3
CLASSIC 28,CLASSIC 28,directed,3
CLASSIC N28,CLASSIC N28,directed,3
CLASSIC 29,CLASSIC 29,directed,3
CLASSIC 34,CLASSIC 34,directed,3
CLASSIC 35,CLASSIC 35,directed,3
CLASSIC 39A,CLASSIC 39A,directed,3
CLASSIC 39B,CLASSIC 39B,directed,3
CLASSIC 39D,CLASSIC 39D,directed,3
CLASSIC 39K,CLASSIC 39K,directed,3
CLASSIC R44,CLASSIC R44,directed,3
CLASSIC 50,CLASSIC 50,directed,3
CLASSIC 98,CLASSIC 98,directed,3
CLASSIC 99,CLASSIC 99,directed,3
CLASSIC 121,CLASSIC 121,directed,3
CLASSIC 124,CLASSIC 124,directed,3
CLASSIC 130,CLASSIC 130,directed,3
CLASSIC 130A,CLASSIC 130A,directed,3
CLASSIC 130B,CLASSIC 130B,directed,3
CLASSIC 130C,CLASSIC 130C,directed,3
CLASSIC 130D,CLASSIC 130D,directed,3
CLASSIC 130E,CLASSIC 130E,directed,3
CLASSIC 130F,CLASSIC 130F,directed,3
CLASSIC 130G,CLASSIC 130G,directed,3
CLASSIC 130H,CLASSIC 130H,directed,3
CLASSIC 130I,CLASSIC 130I,directed,3
CLASSIC 130J,CLASSIC 130J,directed,3
CLASSIC 130K,CLASSIC 130K,directed,3
CLASSIC 130L,CLASSIC 130L,directed,3
CLASSIC 130M,CLASSIC 130M,directed,3
CLASSIC 130N,CLASSIC 130N,directed,3
CLASSIC 130P,CLASSIC 130P,directed,3
CLASSIC 161,CLASSIC 161,directed,3
CLASSIC 170A,CLASSIC 170A,directed,3
CLASSIC 170C,CLASSIC 170C,directed,3
CLASSIC 170D,CLASSIC 170D,directed,3
CLASSIC 172,CLASSIC 172,directed,3
CLASSIC 175A,CLASSIC 175A,directed,3
CLASSIC 175D,CLASSIC 175D,directed,3
CLASSIC 175F,CLASSIC 175F,directed,3
CLASSIC 175G,CLASSIC 175G,directed,3
CLASSIC C175F,CLASSIC C175F,directed,3
CLASSIC 180,CLASSIC 180,directed,3
CLASSIC H195A,CLASSIC H195A,directed,3
CLASSIC H195B,CLASSIC H195B,directed,3
CLASSIC 198,CLASSIC 198,directed,3
CLASSIC 199,CLASSIC 199,directed,3
CLASSIC 10A,CLASSIC 10A,directed,3
CLASSIC 10B,CLASSIC 10B,directed,3
CLASSIC 24,CLASSIC 24,directed,3
CLASSIC 28,CLASSIC 28,directed,3
CLASSIC N28,CLASSIC N28,directed,3
CLASSIC 29,CLASSIC 29,directed,3
CLASSIC 34,CLASSIC 34,directed,3
CLASSIC 35,CLASSIC 35,directed,3
CLASSIC 39A,CLASSIC 39A,directed,3
CLASSIC 39B,CLASSIC 39B,directed,3
CLASSIC 39D,CLASSIC 39D,directed,3
CLASSIC 39K,CLASSIC 39K,directed,3
CLASSIC R44,CLASSIC R44,directed,3
CLASSIC 50,CLASSIC 50,directed,3
CLASSIC 98,CLASSIC 98,directed,3
CLASSIC 99,CLASSIC 99,directed,3
CLASSIC 121,CLASSIC 121,directed,3
CLASSIC 124,CLASSIC 124,directed,3
CLASSIC 130,CLASSIC 130,directed,3
CLASSIC 130A,CLASSIC 130A,directed,3
CLASSIC 130B,CLASSIC 130B,directed,3
CLASSIC 130C,CLASSIC 130C,directed,3
CLASSIC 130D,CLASSIC 130D,directed,3
CLASSIC 130E,CLASSIC 130E,directed,3
CLASSIC 130F,CLASSIC 130F,directed,3
CLASSIC 130G,CLASSIC 130G,directed,3
CLASSIC 130H,CLASSIC 130H,directed,3
CLASSIC 130I,CLASSIC 130I,directed,3
CLASSIC 130J,CLASSIC 130J,directed,3
CLASSIC 130K,CLASSIC 130K,directed,3
CLASSIC 130L,CLASSIC 130L,directed,3
