name,size,about
UGBA 120AA,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2019, Summer 2019 First 6..."
UGBA 120AB,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
UGBA 120B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 121,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 122,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019..."
UGBA 123,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 126,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 128,1,"Terms offered: Spring 2020, Spring 2019, Fall 2017..."
UGBA 160,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Summer 2019 First..."
UGBA 161,1,"Terms offered: Spring 2020, Spring 2019, Spring 2017..."
UGBA 162,1,"Terms offered: Spring 2020, Spring 2019, Fall 2017..."
UGBA 164,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 165,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2019, Summer 2019 First 6..."
UGBA 167,1,"Terms offered: Spring 2020, Fall 2019, Spring 2018..."
UGBA 102A,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019..."
UGBA 102B,1,"Terms offered: Summer 2020 Second 6 Week Session, Spring 2020, Fall 2019..."
UGBA 106,1,"Terms offered: Summer 2020 First 6 Week Session, Summer 2020 Second 6 Week Sess..."
UGBA 120AA,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2019, Summer 2019 First 6..."
UGBA 120AB,1,"Terms offered: Spring 2020, Spring 2019, Spring 2018..."
UGBA 120B,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 121,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 122,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Fall 2019..."
UGBA 123,1,"Terms offered: Fall 2019, Fall 2018, Fall 2017..."
UGBA 126,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 128,1,"Terms offered: Spring 2020, Spring 2019, Fall 2017..."
UGBA 160,1,"Terms offered: Summer 2020 First 6 Week Session, Spring 2020, Summer 2019 First..."
UGBA 161,1,"Terms offered: Spring 2020, Spring 2019, Spring 2017..."
UGBA 162,1,"Terms offered: Spring 2020, Spring 2019, Fall 2017..."
UGBA 164,1,"Terms offered: Spring 2020, Fall 2019, Spring 2019..."
UGBA 165,1,"Terms offered: Summer 2020 First 6 Week Session, Fall 2019, Summer 2019 First 6..."
UGBA 167,1,"Terms offered: Spring 2020, Fall 2019, Spring 2018..."
