name,size,about
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
AMERSTD 5,1,"Inspired by Raymond Williams’ classic text, Keywords: A Vocabulary of Culture a..."
AMERSTD 10,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD 10AC,1,"American culture and cultural change, with attention to the multicultural basis..."
AMERSTD C10,1,This course will introduce students to the interdisciplinary field of American ...
AMERSTD 24,1,The Freshman Seminar Program has been designed to provide new students with the...
AMERSTD 98,1,Written proposal must be approved by sponsoring faculty. Seminars for the group...
AMERSTD 99,1,Independent study and research by arrangement with faculty....
AMERSTD 101AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 102AC,1,"This course examines how U.S. cultures are constructed, reinforced, and changed..."
AMERSTD 110,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD 110AC,1,This course is designed primarily to allow faculty to develop focused interdisc...
AMERSTD H110,1,This course is designed to introduce honors students (those who have achieved a...
AMERSTD C111A,1,The Great Depression and World War II are arguably the two most influential eve...
AMERSTD C111E,1,"A course on the intellectual, cultural, historical, and social backgrounds to A..."
AMERSTD C112A,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112B,1,"Introduces ways of seeing and interpreting American histories and cultures, as ..."
AMERSTD C112F,1,"The American forest will be examined in terms of its ecology, history, and repr..."
AMERSTD C115,1,"This course considers how the American detective is represented in fiction, fil..."
AMERSTD 121,1,"The topic of this course is the history of photography in the United States, fr..."
AMERSTD 132Y,1,This course considers several autobiographies written by Native American Indian...
AMERSTD C132B,1,In this course we will be discussing key developments in U.S. thought since the...
AMERSTD C134,1,This course assesses the role of information technology in the digitalization o...
AMERSTD 138AC,1,World War II lifted the U.S. from the Great Depression and launched a long econ...
AMERSTD 139AC,1,"Beginning with the onset of World War II, America experienced not a sigular,uni..."
AMERSTD 142Y,1,This course will provide students with opportunites to discuss and observe in a...
AMERSTD C152,1,An analysis of the written and oral tradition developed by Native Americans. Em...
AMERSTD 170AC,1,This course will explore the history...
AMERSTD C171,1,This course surveys the history of American landscape architecture since 1850 i...
AMERSTD C172,1,This course will examine selected aspects of the history of American business. ...
AMERSTD C174,1,Since visual and literary studies have historically been viewed as separate dis...
AMERSTD 178AC,1,This course will examine the politics of racial representation and expression i...
AMERSTD 179AC,1,This course offers students a unified course experience that examines the polit...
AMERSTD 189,1,"This course is designed to encourage research skills, critical thinking, and ef..."
AMERSTD 190,1,All American Studies majors must satisfy the senior thesis requirement. Three o...
AMERSTD 191,1,Students will meet in seminar and will be required to write individual research...
AMERSTD 198,1,Seminars for the group study of selected topics not covered by regularly schedu...
AMERSTD 199,1,Directed individual study on special topics approved by an American studies fac...
