source,target,type,weight
MATH 53,MATH 115,directed,3
MATH 54,MATH 115,directed,3
MATH 55,MATH 116,directed,3
MATH 53,MATH 118,directed,3
MATH 54,MATH 118,directed,3
MATH 53,MATH 121A,directed,3
MATH 54,MATH 121A,directed,3
MATH 53,MATH 121B,directed,3
MATH 54,MATH 121B,directed,3
MATH 104,MATH 123,directed,3
MATH 55,MATH 124,directed,3
MATH 113,MATH 125A,directed,3
MATH 53,MATH 126,directed,3
MATH 54,MATH 126,directed,3
MATH 53,MATH 128A,directed,3
MATH 54,MATH 128A,directed,3
MATH 110,MATH 128B,directed,3
MATH 128A,MATH 128B,directed,3
MATH 110,MATH 130,directed,3
MATH 113,MATH 130,directed,3
MATH 113,MATH 135,directed,3
MATH 104,MATH 135,directed,3
MATH 55,MATH 136,directed,3
MATH 104,MATH 140,directed,3
MATH 104,MATH 141,directed,3
MATH 104,MATH 142,directed,3
MATH 113,MATH 142,directed,3
MATH 113,MATH 143,directed,3
MATH 152,MATH 153,directed,3
MATH 113,MATH 160,directed,3
MATH 53,MATH 170,directed,3
MATH 54,MATH 170,directed,3
MATH 55,MATH 172,directed,3
MATH 104,MATH 185,directed,3
MATH 104,MATH H185,directed,3
MATH N16B,MATH 1A,directed,3
MATH 1A,MATH 1B,directed,3
MATH N1A,MATH 1B,directed,3
MATH 1A,MATH H1B,directed,3
MATH 1B,MATH H1B,directed,3
MATH 1A,MATH N1A,directed,3
MATH 1A,MATH N1B,directed,3
MATH N1A,MATH N1B,directed,3
MATH 1B,MATH N1B,directed,3
MATH 98,MATH 10A,directed,3
MATH 10A,MATH 10B,directed,3
MATH 98,MATH N10A,directed,3
MATH 10A,MATH N10B,directed,3
MATH N10A,MATH N10B,directed,3
MATH 16A,MATH 16B,directed,3
MATH 1B,MATH 16B,directed,3
MATH 16A,MATH N16A,directed,3
MATH 1A,MATH N16A,directed,3
MATH 16A,MATH N16B,directed,3
MATH N16A,MATH N16B,directed,3
MATH 1B,MATH N16B,directed,3
MATH 1A,MATH 32,directed,3
MATH 1B,MATH 32,directed,3
MATH 16A,MATH 32,directed,3
MATH 16B,MATH 32,directed,3
MATH 1A,MATH N32,directed,3
MATH 24,MATH 49,directed,3
MATH 24,MATH 49,directed,3
MATH 24,MATH 49,directed,3
MATH N16B,MATH 1A,directed,3
MATH 1A,MATH 1B,directed,3
MATH N1A,MATH 1B,directed,3
MATH 1A,MATH H1B,directed,3
MATH 1B,MATH H1B,directed,3
MATH 1A,MATH N1A,directed,3
MATH 1A,MATH N1B,directed,3
MATH N1A,MATH N1B,directed,3
MATH 1B,MATH N1B,directed,3
MATH 98,MATH 10A,directed,3
MATH 10A,MATH 10B,directed,3
MATH 98,MATH N10A,directed,3
MATH 10A,MATH N10B,directed,3
MATH N10A,MATH N10B,directed,3
MATH 16A,MATH 16B,directed,3
MATH 1B,MATH 16B,directed,3
MATH 16A,MATH N16A,directed,3
MATH 1A,MATH N16A,directed,3
MATH 16A,MATH N16B,directed,3
MATH N16A,MATH N16B,directed,3
MATH 1B,MATH N16B,directed,3
MATH 1A,MATH 32,directed,3
MATH 1B,MATH 32,directed,3
MATH 16A,MATH 32,directed,3
MATH 16B,MATH 32,directed,3
MATH 1A,MATH N32,directed,3
MATH 1B,MATH 53,directed,3
MATH N1B,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH 1B,MATH H53,directed,3
MATH 1B,MATH N53,directed,3
MATH N1B,MATH N53,directed,3
MATH 1B,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH N10B,MATH 54,directed,3
MATH N54,MATH 54,directed,3
MATH 1B,MATH H54,directed,3
MATH 54,MATH H54,directed,3
MATH N10B,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH N55,MATH 55,directed,3
MATH 55,MATH N55,directed,3
MATH 53,MATH 74,directed,3
MATH 54,MATH 74,directed,3
MATH 53,MATH C103,directed,3
MATH 54,MATH C103,directed,3
MATH 53,MATH 104,directed,3
MATH 55,MATH 104,directed,3
MATH 53,MATH H104,directed,3
MATH 55,MATH H104,directed,3
MATH 104,MATH 105,directed,3
MATH 54,MATH 110,directed,3
MATH 54,MATH H110,directed,3
MATH 55,MATH H110,directed,3
MATH 54,MATH 113,directed,3
MATH 55,MATH 113,directed,3
MATH 54,MATH H113,directed,3
MATH 55,MATH H113,directed,3
MATH 110,MATH 114,directed,3
MATH 53,MATH 115,directed,3
MATH 54,MATH 115,directed,3
MATH 55,MATH 116,directed,3
MATH 53,MATH 118,directed,3
MATH 54,MATH 118,directed,3
MATH 53,MATH 121A,directed,3
MATH 54,MATH 121A,directed,3
MATH 53,MATH 121B,directed,3
MATH 54,MATH 121B,directed,3
MATH 104,MATH 123,directed,3
MATH 55,MATH 124,directed,3
MATH 113,MATH 125A,directed,3
MATH 53,MATH 126,directed,3
MATH 54,MATH 126,directed,3
MATH 53,MATH 128A,directed,3
MATH 54,MATH 128A,directed,3
MATH 110,MATH 128B,directed,3
MATH 128A,MATH 128B,directed,3
MATH 110,MATH 130,directed,3
MATH 113,MATH 130,directed,3
MATH 113,MATH 135,directed,3
MATH 104,MATH 135,directed,3
MATH 55,MATH 136,directed,3
MATH 104,MATH 140,directed,3
MATH 104,MATH 141,directed,3
MATH 104,MATH 142,directed,3
MATH 113,MATH 142,directed,3
MATH 113,MATH 143,directed,3
MATH 152,MATH 153,directed,3
MATH 113,MATH 160,directed,3
MATH 53,MATH 170,directed,3
MATH 54,MATH 170,directed,3
MATH 55,MATH 172,directed,3
MATH 104,MATH 185,directed,3
MATH 104,MATH H185,directed,3
MATH N16B,MATH 1A,directed,3
MATH 1A,MATH 1B,directed,3
MATH N1A,MATH 1B,directed,3
MATH 1A,MATH H1B,directed,3
MATH 1B,MATH H1B,directed,3
MATH 1A,MATH N1A,directed,3
MATH 1A,MATH N1B,directed,3
MATH N1A,MATH N1B,directed,3
MATH 1B,MATH N1B,directed,3
MATH 98,MATH 10A,directed,3
MATH 10A,MATH 10B,directed,3
MATH 98,MATH N10A,directed,3
MATH 10A,MATH N10B,directed,3
MATH N10A,MATH N10B,directed,3
MATH 16A,MATH 16B,directed,3
MATH 1B,MATH 16B,directed,3
MATH 16A,MATH N16A,directed,3
MATH 1A,MATH N16A,directed,3
MATH 16A,MATH N16B,directed,3
MATH N16A,MATH N16B,directed,3
MATH 1B,MATH N16B,directed,3
MATH 1A,MATH 32,directed,3
MATH 1B,MATH 32,directed,3
MATH 16A,MATH 32,directed,3
MATH 16B,MATH 32,directed,3
MATH 1A,MATH N32,directed,3
MATH 1B,MATH 53,directed,3
MATH N1B,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH 1B,MATH H53,directed,3
MATH 1B,MATH N53,directed,3
MATH N1B,MATH N53,directed,3
MATH 1B,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH N10B,MATH 54,directed,3
MATH N54,MATH 54,directed,3
MATH 1B,MATH H54,directed,3
MATH 54,MATH H54,directed,3
MATH N10B,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH N55,MATH 55,directed,3
MATH 55,MATH N55,directed,3
MATH 53,MATH 74,directed,3
MATH 54,MATH 74,directed,3
MATH 53,MATH C103,directed,3
MATH 54,MATH C103,directed,3
MATH 53,MATH 104,directed,3
MATH 55,MATH 104,directed,3
MATH 53,MATH H104,directed,3
MATH 55,MATH H104,directed,3
MATH 104,MATH 105,directed,3
MATH 54,MATH 110,directed,3
MATH 54,MATH H110,directed,3
MATH 55,MATH H110,directed,3
MATH 54,MATH 113,directed,3
MATH 55,MATH 113,directed,3
MATH 54,MATH H113,directed,3
MATH 55,MATH H113,directed,3
MATH 110,MATH 114,directed,3
MATH 53,MATH 115,directed,3
MATH 54,MATH 115,directed,3
MATH 55,MATH 116,directed,3
MATH 53,MATH 118,directed,3
MATH 54,MATH 118,directed,3
MATH 53,MATH 121A,directed,3
MATH 54,MATH 121A,directed,3
MATH 53,MATH 121B,directed,3
MATH 54,MATH 121B,directed,3
MATH 104,MATH 123,directed,3
MATH 55,MATH 124,directed,3
MATH 113,MATH 125A,directed,3
MATH 53,MATH 126,directed,3
MATH 54,MATH 126,directed,3
MATH 53,MATH 128A,directed,3
MATH 54,MATH 128A,directed,3
MATH 110,MATH 128B,directed,3
MATH 128A,MATH 128B,directed,3
MATH 110,MATH 130,directed,3
MATH 113,MATH 130,directed,3
MATH 113,MATH 135,directed,3
MATH 104,MATH 135,directed,3
MATH 55,MATH 136,directed,3
MATH 104,MATH 140,directed,3
MATH 104,MATH 141,directed,3
MATH 104,MATH 142,directed,3
MATH 113,MATH 142,directed,3
MATH 113,MATH 143,directed,3
MATH 152,MATH 153,directed,3
MATH 113,MATH 160,directed,3
MATH 53,MATH 170,directed,3
MATH 54,MATH 170,directed,3
MATH 55,MATH 172,directed,3
MATH 104,MATH 185,directed,3
MATH 104,MATH H185,directed,3
MATH N16B,MATH 1A,directed,3
MATH 1A,MATH 1B,directed,3
MATH N1A,MATH 1B,directed,3
MATH 1A,MATH H1B,directed,3
MATH 1B,MATH H1B,directed,3
MATH 1A,MATH N1A,directed,3
MATH 1A,MATH N1B,directed,3
MATH N1A,MATH N1B,directed,3
MATH 1B,MATH N1B,directed,3
MATH 98,MATH 10A,directed,3
MATH 10A,MATH 10B,directed,3
MATH 98,MATH N10A,directed,3
MATH 10A,MATH N10B,directed,3
MATH N10A,MATH N10B,directed,3
MATH 16A,MATH 16B,directed,3
MATH 1B,MATH 16B,directed,3
MATH 16A,MATH N16A,directed,3
MATH 1A,MATH N16A,directed,3
MATH 16A,MATH N16B,directed,3
MATH N16A,MATH N16B,directed,3
MATH 1B,MATH N16B,directed,3
MATH 1A,MATH 32,directed,3
MATH 1B,MATH 32,directed,3
MATH 16A,MATH 32,directed,3
MATH 16B,MATH 32,directed,3
MATH 1A,MATH N32,directed,3
MATH 1B,MATH 53,directed,3
MATH N1B,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH 1B,MATH H53,directed,3
MATH 1B,MATH N53,directed,3
MATH N1B,MATH N53,directed,3
MATH 1B,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH N10B,MATH 54,directed,3
MATH N54,MATH 54,directed,3
MATH 1B,MATH H54,directed,3
MATH 54,MATH H54,directed,3
MATH N10B,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH N55,MATH 55,directed,3
MATH 55,MATH N55,directed,3
MATH 53,MATH 74,directed,3
MATH 54,MATH 74,directed,3
MATH 53,MATH C103,directed,3
MATH 54,MATH C103,directed,3
MATH 53,MATH 104,directed,3
MATH 55,MATH 104,directed,3
MATH 53,MATH H104,directed,3
MATH 55,MATH H104,directed,3
MATH 104,MATH 105,directed,3
MATH 54,MATH 110,directed,3
MATH 54,MATH H110,directed,3
MATH 55,MATH H110,directed,3
MATH 54,MATH 113,directed,3
MATH 55,MATH 113,directed,3
MATH 54,MATH H113,directed,3
MATH 55,MATH H113,directed,3
MATH 110,MATH 114,directed,3
MATH 53,MATH 115,directed,3
MATH 54,MATH 115,directed,3
MATH 55,MATH 116,directed,3
MATH 53,MATH 118,directed,3
MATH 54,MATH 118,directed,3
MATH 53,MATH 121A,directed,3
MATH 54,MATH 121A,directed,3
MATH 53,MATH 121B,directed,3
MATH 54,MATH 121B,directed,3
MATH 104,MATH 123,directed,3
MATH 55,MATH 124,directed,3
MATH 113,MATH 125A,directed,3
MATH 53,MATH 126,directed,3
MATH 54,MATH 126,directed,3
MATH 53,MATH 128A,directed,3
MATH 54,MATH 128A,directed,3
MATH 110,MATH 128B,directed,3
MATH 128A,MATH 128B,directed,3
MATH 110,MATH 130,directed,3
MATH 113,MATH 130,directed,3
MATH 113,MATH 135,directed,3
MATH 104,MATH 135,directed,3
MATH 55,MATH 136,directed,3
MATH 104,MATH 140,directed,3
MATH 104,MATH 141,directed,3
MATH 104,MATH 142,directed,3
MATH 113,MATH 142,directed,3
MATH 113,MATH 143,directed,3
MATH 152,MATH 153,directed,3
MATH 113,MATH 160,directed,3
MATH 53,MATH 170,directed,3
MATH 54,MATH 170,directed,3
MATH 55,MATH 172,directed,3
MATH 104,MATH 185,directed,3
MATH 104,MATH H185,directed,3
MATH N16B,MATH 1A,directed,3
MATH 1A,MATH 1B,directed,3
MATH N1A,MATH 1B,directed,3
MATH 1A,MATH H1B,directed,3
MATH 1B,MATH H1B,directed,3
MATH 1A,MATH N1A,directed,3
MATH 1A,MATH N1B,directed,3
MATH N1A,MATH N1B,directed,3
MATH 1B,MATH N1B,directed,3
MATH 98,MATH 10A,directed,3
MATH 10A,MATH 10B,directed,3
MATH 98,MATH N10A,directed,3
MATH 10A,MATH N10B,directed,3
MATH N10A,MATH N10B,directed,3
MATH 16A,MATH 16B,directed,3
MATH 1B,MATH 16B,directed,3
MATH 16A,MATH N16A,directed,3
MATH 1A,MATH N16A,directed,3
MATH 16A,MATH N16B,directed,3
MATH N16A,MATH N16B,directed,3
MATH 1B,MATH N16B,directed,3
MATH 1A,MATH 32,directed,3
MATH 1B,MATH 32,directed,3
MATH 16A,MATH 32,directed,3
MATH 16B,MATH 32,directed,3
MATH 1A,MATH N32,directed,3
MATH 1B,MATH 53,directed,3
MATH N1B,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH N53,MATH 53,directed,3
MATH 1B,MATH H53,directed,3
MATH 1B,MATH N53,directed,3
MATH N1B,MATH N53,directed,3
MATH 1B,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH 53,MATH W53,directed,3
MATH N10B,MATH 54,directed,3
MATH N54,MATH 54,directed,3
MATH 1B,MATH H54,directed,3
MATH 54,MATH H54,directed,3
MATH N10B,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH 54,MATH N54,directed,3
MATH N55,MATH 55,directed,3
MATH 55,MATH N55,directed,3
MATH 53,MATH 74,directed,3
MATH 54,MATH 74,directed,3
MATH 53,MATH C103,directed,3
MATH 54,MATH C103,directed,3
MATH 53,MATH 104,directed,3
MATH 55,MATH 104,directed,3
MATH 53,MATH H104,directed,3
MATH 55,MATH H104,directed,3
MATH 104,MATH 105,directed,3
MATH 54,MATH 110,directed,3
MATH 54,MATH H110,directed,3
MATH 55,MATH H110,directed,3
MATH 54,MATH 113,directed,3
MATH 55,MATH 113,directed,3
MATH 54,MATH H113,directed,3
MATH 55,MATH H113,directed,3
MATH 110,MATH 114,directed,3
MATH 53,MATH 115,directed,3
MATH 54,MATH 115,directed,3
MATH 55,MATH 116,directed,3
MATH 53,MATH 118,directed,3
MATH 54,MATH 118,directed,3
MATH 53,MATH 121A,directed,3
MATH 54,MATH 121A,directed,3
MATH 53,MATH 121B,directed,3
MATH 54,MATH 121B,directed,3
MATH 104,MATH 123,directed,3
MATH 55,MATH 124,directed,3
MATH 113,MATH 125A,directed,3
MATH 53,MATH 126,directed,3
MATH 54,MATH 126,directed,3
MATH 53,MATH 128A,directed,3
MATH 54,MATH 128A,directed,3
MATH 110,MATH 128B,directed,3
MATH 128A,MATH 128B,directed,3
MATH 110,MATH 130,directed,3
MATH 113,MATH 130,directed,3
MATH 113,MATH 135,directed,3
MATH 104,MATH 135,directed,3
MATH 55,MATH 136,directed,3
MATH 104,MATH 140,directed,3
MATH 104,MATH 141,directed,3
MATH 104,MATH 142,directed,3
MATH 113,MATH 142,directed,3
MATH 113,MATH 143,directed,3
MATH 152,MATH 153,directed,3
MATH 113,MATH 160,directed,3
MATH 53,MATH 170,directed,3
MATH 54,MATH 170,directed,3
MATH 55,MATH 172,directed,3
MATH 104,MATH 185,directed,3
MATH 104,MATH H185,directed,3
