name,size,about
PB HLTH 150E,1,"This course will consist of a survey of the major social, cu
ltural, and bio-behavioral patterns of health and well-being
 among individuals, families, neighborhoods, and communities
. The course also will address the design, implementation, a
nd evaluation of leading social and behavioral interventions
 and social policies designed to improve community and popul
ation health. This course will satisfy one of the core requi
rements for the undergraduate"
PB HLTH C155,1,"This course covers several topics, including distributive ju
stice in health care, the organization and politics of the h
ealth system, the correlates of health (by race, sex, class,
 income), pandemics (e.g., AIDS, Avian Flu and other influen
zas, etc.), and the experience of illness and interactions w
ith doctors and the"
PB HLTH C160,1,"The health effects of environmental alterations caused by de
velopment programs and other human activities in both develo
ping and developed areas. Case studies will contextualize me
thodological information and incorporate a global perspectiv
e on environmentally mediated diseases in diverse population
s. Topics include water management; population change; toxic
s; energy development; air pollution;"
PB HLTH 162A,1,"Introduction to properties of microorganisms; their relation
ships with humans in causing infectious diseases and in main
taining health. With 162L, satisfies most requirements for a
 laboratory course in microbiology. May be taken without 162
L."
PB HLTH 162L,1,"This laboratory course was designed to accompany PH162A, Pub
lic Health microbiology. The primary emphasis in the laborat
ory will be on properties of microorganisms, particularly th
ose that cause infectious disease in humans. Examples will b
e presented of laboratory applications of microbiology and i
mmunology as they relate to the diagnosis and treatment of d
isease, and control of the environment to prevent transmissi
on of infectious agents."
PB HLTH 170C,1,"The course covers monitoring, control and regulatory policy 
of microbial, chemical and radiological drinking water conta
minants. Additional subjects include history and iconography
 of safe water, communicating risks to water consumers and a
 bottled water versus tap water taste test as part of the di
scussion on aesthetic water quality parameters. A field trip
 to a local water treatment plant in included."
PB HLTH 181,1,"Globally one million more births than deaths occur every 112
 hours, 90% in the poorest countries. Between 1960 and 1980,
 considerable attention was focused on rapid population grow
th. Afterwards, the attention has faded and investment in fa
mily planning evaporated. Family size among some of the poor
est women is increasing. This course seeks to provide an und
erstanding of the relationships between population growth, p
overty, women's autonomy, and"
PB HLTH 188,1,"This course explores the development of innovations to impro
ve the health of populations, with a primary focus on techno
logies for children (ages 0 to teen) and older adults. Signi
ficant emphasis is placed on health equity in exploring thes
e customer groups. Human-centered design is used as the over
arching approach to problem solving, which contributes minds
ets and skills, as well as mechanisms for collaboration. Thi
s course is part of the Fung Fellowship for Wellness"
PB HLTH H195A,1,"Required for students intending to complete an honors thesis
 in their senior year. This course will document your comple
tion of an senior honors thesis in Public Health. You will f
ocus on writing and publishing scientific documents and pres
enting scientific information in mixed media (written and or
al) to diverse audiences (scientists and the general public)
."
PB HLTH 196,1,"Special topics in various fields of Public Health. Topics co
vered will vary from semester to semester and will be announ
ced at the beginning of each term."
PB HLTH 197,1,"Supervised experience relevant to specific aspects of public
 health in off-campus organizations. Regular individual meet
ings with faculty sponsor and written reports required."
PB HLTH 198,1, 
PB HLTH 199,1,"Enrollment restrictions apply; see the Introduction to Cours
es and Curricula section of this catalog."
PB HLTH 14,1,"Introduction to personal and community health, drawing on ph
ysical and social sciences. Specific areas include stress, a
lcohol and drugs, nutrition, exercise, the environment, comm
unication, and sexuality. Readings, lectures, and discussion
s explore key issues for students and examine those issues i
n the context of contemporary American society. Public healt
h approaches to disease prevention and health promotion are 
explored for each top"
PB HLTH 15,1,"This seminar provides an overview of the intersection betwee
n global health and social justice, with a specific focus on
 the ways in which inequity, specifically the conditions tha
t lead to poverty, disproportionately affect health outcomes
. Students will learn about the historical and theoretical u
nderpinnings of global health, how social determinants affec
t medical outcomes and health policy, the principles of inte
rnational law and health"
PB HLTH 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
PB HLTH 98,1, 
PB HLTH 99,1, 
PB HLTH 101,1,"Human activity and human numbers threaten the possibility of
 irreversible damage to the fragile biosphere on which all l
ife depends. The current generation of students is the first
 one to face this existential problem and it may be the last
 one that can solve it. The goal of this course is for facul
ty with expertise in the many variables involved-energy cons
umption, food security, population growth and family plannin
g, climate change, governance"
PB HLTH 104A,1,"Topics include health promotion, medical self-care, and deli
very of health care service. Through a combined theory and p
ractice approach, topics are covered as they apply to the ca
mpus community. The course is divided into three sections co
rresponding to particular campus health field experiences in
 which students may be involved."
PB HLTH 104B,1,"Topics include health promotion, medical self-care, and deli
very of health care service. Through a combined theory and p
ractice approach, topics are covered as they apply to the ca
mpus community. The course is divided into three sections co
rresponding to particular campus health field experiences in
 which students may be involved."
PB HLTH 107,1,"This course addresses violence as a public health issue, usi
ng an interdisciplinary public health approach to enable und
ergraduate students to explore and analyze violence from per
sonal, social, community and political perspectives. Student
s will learn to apply public health strategies to identify c
auses of violence and develop practical community-based plan
s to prevent violence"
PB HLTH W108,1,"The course will provide core knowledge and skills from sever
al disciplines on how to improve women's health and well-bei
ng globally, and it will follow a life course framework. It 
aims to expand students’ understanding of the interconnected
 factors that influence women’s health and empowerment - inc
luding foundations of sexual and reproductive health, econom
ic development, political frameworks and global reproductive
 rights, demographic and social changes"
PB HLTH 112,1,"This course examines health at the individual and community/
global level by examining the interplay of many factors, inc
luding the legal, social, political, and physical environmen
ts; economic forces; access to food, safe water, sanitation,
 and affordable preventive/medical care; nutrition; cultural
 beliefs and human behaviors; and religion; among others. St
udents will be expected to read, understand, and use advance
d"
PB HLTH N112,1,"This course examines health at the individual and community/
global level by examining the interplay of many factors, inc
luding the legal, social, political, and physical environmen
ts; economic forces; access to food, safe water, sanitation,
 and affordable preventive/medical care; nutrition; cultural
 beliefs and human behaviors; and religion; among others. St
udents will be expected"
PB HLTH 116,1,"This course offers an introduction to issues and perspective
s related to health and medicine. Guest lecturers speak abou
t the week’s topic, which can include a variety of topics su
ch as public health, violence, chronic illnesses, environmen
tal health, and health care economics. Speakers share their 
first-hand experiences in their fields, discuss current issu
es, debate ethical dilemmas, and pose and answer questions. 
During the weekly discussion"
PB HLTH C117,1,"This course prepares students to conduct a 10-week global he
alth research project in a low or middle-income country (LMI
C); provides a background in global health, emphasizing infe
ctious disease research, international research ethics, and 
the conduct of health research in low-resource settings. Lea
ds students through the process of preparing for, conducting
, and completing a short-term research project, with modules
 focused on cultural communication"
PB HLTH 118,1,"We will focus on low- and middle-income countries because th
ey experience the greatest burden of malnutrition, and becau
se they face a unique context of limited financial and gover
nment resources. In this course, we will discuss the effects
 of nutrition throughout the lifecycle in pregnancy, infancy
, childhood, and adulthood. We will focus on nutrition broad
ly including issues of undernutrition, micronutrient"
PB HLTH 126,1,"This course focuses on a selected set of the major health po
licy issues and uses economics to uncover and better underst
and the issues. The course examines the scope for government
 intervention in health markets."
PB HLTH 129,1,"The course will survey the field of the human brain, with in
troductory lectures on the concepts of aging, and brief surv
eys of normal neuroanatomy, neurophysiology, neurochemistry,
 and neuropsychology as well as methods such as imaging, epi
demiology, and pathology. The neurobiological changes associ
ated with aging will be covered from the same perspectives: 
neuropsychology, anatomy, biochemistry, and physiology. Majo
r neurological diseases of aging including"
PB HLTH 130,1,"This course will give you the opportunity to build upon your
 understanding of the organization, financing and current po
licy issues of the US health care delivery system obtained i
n PH 150D. In this course you will become engaged health pol
icy analysts, applying policy making tools (e.g., policy mem
os/briefs, legislative analysis, regulatory comments, media 
advocacy, public testimony) to actual health issues and prob
lems. Through individual"
PB HLTH 141,1,"An intensive introductory course in statistical methods used
 in applied research. Emphasis on principles of statistical 
reasoning, underlying assumptions, and careful interpretatio
n of results. Topics covered: descriptive statistics, graphi
cal displays of data, introduction to probability, expectati
ons and variance of ramdom variables, confidence intervals a
nd tests for means, differences"
PB HLTH 142,1,"Descriptive statistics, probability, probability distributio
ns, point and interval estimation, hypothesis testing, chi-s
quare, correlation and regression with biomedical applicatio
ns."
PB HLTH W142,1,"Descriptive statistics, probability, probability distributio
ns, point and interval estimation, hypothesis testing, chi-s
quare, correlation, and regression with biomedical applicati
ons."
PB HLTH 144A,1,"This course is intended to serve as an introduction to the S
AS programming language for Windows in an applied, workshop 
environment. Emphasis is on data management and programming 
in a public health research setting. Topics include SAS lang
uage to compute, recode, label, and format variables as well
 as sort, subset, concatenate, and merge data sets. SAS stat
istical procedures will be used to compute univariate and bi
variate summary statistics"
PB HLTH 144B,1,"Topics include data step flow control, looping and automated
 processing, implicit and explicit arrays, data simulation s
trategies, data set reconfiguration, use of SAS Macro variab
les, and writing simple SAS Macro programs."
PB HLTH 145,1,"Regression models for continuous outcome data: least squares
 estimates and their properties, interpreting coefficients, 
prediction, comparing models, checking model assumptions, tr
ansformations, outliers, and influential points. Categorical
 explanatory variables: interaction and analysis of covarian
ce, correlation and partial correlation. Appropriate graphic
al methods and statistical computing. Analysis of variance f
or one- and two-factor models:"
PB HLTH 147,1,"There are four facets to the course. 1) Core knowledge of th
e epidemiology of the major causes of vision loss globally 2
) The role of ophthalmology and surgical interventions in gl
obal health 3) novel teaching methods in group dynamics, pub
lic speaking, video making, physician shadowing, surgery obs
ervation and leadership opportunities 4) Hands on public hea
lth work with an intervention, such as vision screening for 
the homeless. A multidisciplinary"
PB HLTH 150A,1,"This course introduces epidemiological methods with the goal
 of teaching students to read critically and interpret publi
shed epidemiologic studies in humans. The course also expose
s students to the epidemiology of diseases and conditions of
 current public health importance in the United States and i
nternationally."
PB HLTH 150B,1,"The course will present the major human and natural activiti
es that lead to release of hazardous materials into the envi
ronment as well as the causal links between chemical, physic
al, and biological hazards in the environment and their impa
ct on human health. The basic principles of toxicology will 
be presented including dose-response relationships, absorpti
on, distribution, metabolism, and excretion"
PB HLTH 150D,1,"This course is intended to introduce students to health poli
cy making and health care organizations in the United States
. Students will be introduced to concepts from public policy
, economics, organizational behavior, and political science.
 Students will also be introduced to current issues in U.S. 
health policy and the present organization of the U.S. healt
h care system."
PB HLTH 150E,1,"This course will consist of a survey of the major social, cu
ltural, and bio-behavioral patterns of health and well-being
 among individuals, families, neighborhoods, and communities
. The course also will address the design, implementation, a
nd evaluation of leading social and behavioral interventions
 and social policies designed to improve community and popul
ation health. This course will satisfy one of the core requi
rements for the undergraduate"
PB HLTH C155,1,"This course covers several topics, including distributive ju
stice in health care, the organization and politics of the h
ealth system, the correlates of health (by race, sex, class,
 income), pandemics (e.g., AIDS, Avian Flu and other influen
zas, etc.), and the experience of illness and interactions w
ith doctors and the"
PB HLTH C160,1,"The health effects of environmental alterations caused by de
velopment programs and other human activities in both develo
ping and developed areas. Case studies will contextualize me
thodological information and incorporate a global perspectiv
e on environmentally mediated diseases in diverse population
s. Topics include water management; population change; toxic
s; energy development; air pollution;"
PB HLTH 162A,1,"Introduction to properties of microorganisms; their relation
ships with humans in causing infectious diseases and in main
taining health. With 162L, satisfies most requirements for a
 laboratory course in microbiology. May be taken without 162
L."
PB HLTH 162L,1,"This laboratory course was designed to accompany PH162A, Pub
lic Health microbiology. The primary emphasis in the laborat
ory will be on properties of microorganisms, particularly th
ose that cause infectious disease in humans. Examples will b
e presented of laboratory applications of microbiology and i
mmunology as they relate to the diagnosis and treatment of d
isease, and control of the environment to prevent transmissi
on of infectious agents."
PB HLTH 170C,1,"The course covers monitoring, control and regulatory policy 
of microbial, chemical and radiological drinking water conta
minants. Additional subjects include history and iconography
 of safe water, communicating risks to water consumers and a
 bottled water versus tap water taste test as part of the di
scussion on aesthetic water quality parameters. A field trip
 to a local water treatment plant in included."
PB HLTH 181,1,"Globally one million more births than deaths occur every 112
 hours, 90% in the poorest countries. Between 1960 and 1980,
 considerable attention was focused on rapid population grow
th. Afterwards, the attention has faded and investment in fa
mily planning evaporated. Family size among some of the poor
est women is increasing. This course seeks to provide an und
erstanding of the relationships between population growth, p
overty, women's autonomy, and"
PB HLTH 188,1,"This course explores the development of innovations to impro
ve the health of populations, with a primary focus on techno
logies for children (ages 0 to teen) and older adults. Signi
ficant emphasis is placed on health equity in exploring thes
e customer groups. Human-centered design is used as the over
arching approach to problem solving, which contributes minds
ets and skills, as well as mechanisms for collaboration. Thi
s course is part of the Fung Fellowship for Wellness"
PB HLTH H195A,1,"Required for students intending to complete an honors thesis
 in their senior year. This course will document your comple
tion of an senior honors thesis in Public Health. You will f
ocus on writing and publishing scientific documents and pres
enting scientific information in mixed media (written and or
al) to diverse audiences (scientists and the general public)
."
PB HLTH 196,1,"Special topics in various fields of Public Health. Topics co
vered will vary from semester to semester and will be announ
ced at the beginning of each term."
PB HLTH 197,1,"Supervised experience relevant to specific aspects of public
 health in off-campus organizations. Regular individual meet
ings with faculty sponsor and written reports required."
PB HLTH 198,1, 
PB HLTH 199,1,"Enrollment restrictions apply; see the Introduction to Cours
es and Curricula section of this catalog."
PB HLTH 14,1,"Introduction to personal and community health, drawing on ph
ysical and social sciences. Specific areas include stress, a
lcohol and drugs, nutrition, exercise, the environment, comm
unication, and sexuality. Readings, lectures, and discussion
s explore key issues for students and examine those issues i
n the context of contemporary American society. Public healt
h approaches to disease prevention and health promotion are 
explored for each top"
PB HLTH 15,1,"This seminar provides an overview of the intersection betwee
n global health and social justice, with a specific focus on
 the ways in which inequity, specifically the conditions tha
t lead to poverty, disproportionately affect health outcomes
. Students will learn about the historical and theoretical u
nderpinnings of global health, how social determinants affec
t medical outcomes and health policy, the principles of inte
rnational law and health"
PB HLTH 84,1,"Sophomore seminars are small interactive courses offered by 
faculty members in departments all across the campus. Sophom
ore seminars offer opportunity for close, regular intellectu
al contact between faculty members and students in the cruci
al second year. The topics vary from department to departmen
t and semester to semester. Enrollment limited to 15 sophomo
res."
PB HLTH 98,1, 
PB HLTH 99,1, 
PB HLTH 101,1,"Human activity and human numbers threaten the possibility of
 irreversible damage to the fragile biosphere on which all l
ife depends. The current generation of students is the first
 one to face this existential problem and it may be the last
 one that can solve it. The goal of this course is for facul
ty with expertise in the many variables involved-energy cons
umption, food security, population growth and family plannin
g, climate change, governance"
PB HLTH 104A,1,"Topics include health promotion, medical self-care, and deli
very of health care service. Through a combined theory and p
ractice approach, topics are covered as they apply to the ca
mpus community. The course is divided into three sections co
rresponding to particular campus health field experiences in
 which students may be involved."
PB HLTH 104B,1,"Topics include health promotion, medical self-care, and deli
very of health care service. Through a combined theory and p
ractice approach, topics are covered as they apply to the ca
mpus community. The course is divided into three sections co
rresponding to particular campus health field experiences in
 which students may be involved."
PB HLTH 107,1,"This course addresses violence as a public health issue, usi
ng an interdisciplinary public health approach to enable und
ergraduate students to explore and analyze violence from per
sonal, social, community and political perspectives. Student
s will learn to apply public health strategies to identify c
auses of violence and develop practical community-based plan
s to prevent violence"
PB HLTH W108,1,"The course will provide core knowledge and skills from sever
al disciplines on how to improve women's health and well-bei
ng globally, and it will follow a life course framework. It 
aims to expand students’ understanding of the interconnected
 factors that influence women’s health and empowerment - inc
luding foundations of sexual and reproductive health, econom
ic development, political frameworks and global reproductive
 rights, demographic and social changes"
PB HLTH 112,1,"This course examines health at the individual and community/
global level by examining the interplay of many factors, inc
luding the legal, social, political, and physical environmen
ts; economic forces; access to food, safe water, sanitation,
 and affordable preventive/medical care; nutrition; cultural
 beliefs and human behaviors; and religion; among others. St
udents will be expected to read, understand, and use advance
d"
PB HLTH N112,1,"This course examines health at the individual and community/
global level by examining the interplay of many factors, inc
luding the legal, social, political, and physical environmen
ts; economic forces; access to food, safe water, sanitation,
 and affordable preventive/medical care; nutrition; cultural
 beliefs and human behaviors; and religion; among others. St
udents will be expected"
PB HLTH 116,1,"This course offers an introduction to issues and perspective
s related to health and medicine. Guest lecturers speak abou
t the week’s topic, which can include a variety of topics su
ch as public health, violence, chronic illnesses, environmen
tal health, and health care economics. Speakers share their 
first-hand experiences in their fields, discuss current issu
es, debate ethical dilemmas, and pose and answer questions. 
During the weekly discussion"
PB HLTH C117,1,"This course prepares students to conduct a 10-week global he
alth research project in a low or middle-income country (LMI
C); provides a background in global health, emphasizing infe
ctious disease research, international research ethics, and 
the conduct of health research in low-resource settings. Lea
ds students through the process of preparing for, conducting
, and completing a short-term research project, with modules
 focused on cultural communication"
PB HLTH 118,1,"We will focus on low- and middle-income countries because th
ey experience the greatest burden of malnutrition, and becau
se they face a unique context of limited financial and gover
nment resources. In this course, we will discuss the effects
 of nutrition throughout the lifecycle in pregnancy, infancy
, childhood, and adulthood. We will focus on nutrition broad
ly including issues of undernutrition, micronutrient"
PB HLTH 126,1,"This course focuses on a selected set of the major health po
licy issues and uses economics to uncover and better underst
and the issues. The course examines the scope for government
 intervention in health markets."
PB HLTH 129,1,"The course will survey the field of the human brain, with in
troductory lectures on the concepts of aging, and brief surv
eys of normal neuroanatomy, neurophysiology, neurochemistry,
 and neuropsychology as well as methods such as imaging, epi
demiology, and pathology. The neurobiological changes associ
ated with aging will be covered from the same perspectives: 
neuropsychology, anatomy, biochemistry, and physiology. Majo
r neurological diseases of aging including"
PB HLTH 130,1,"This course will give you the opportunity to build upon your
 understanding of the organization, financing and current po
licy issues of the US health care delivery system obtained i
n PH 150D. In this course you will become engaged health pol
icy analysts, applying policy making tools (e.g., policy mem
os/briefs, legislative analysis, regulatory comments, media 
advocacy, public testimony) to actual health issues and prob
lems. Through individual"
PB HLTH 141,1,"An intensive introductory course in statistical methods used
 in applied research. Emphasis on principles of statistical 
reasoning, underlying assumptions, and careful interpretatio
n of results. Topics covered: descriptive statistics, graphi
cal displays of data, introduction to probability, expectati
ons and variance of ramdom variables, confidence intervals a
nd tests for means, differences"
PB HLTH 142,1,"Descriptive statistics, probability, probability distributio
ns, point and interval estimation, hypothesis testing, chi-s
quare, correlation and regression with biomedical applicatio
ns."
PB HLTH W142,1,"Descriptive statistics, probability, probability distributio
ns, point and interval estimation, hypothesis testing, chi-s
quare, correlation, and regression with biomedical applicati
ons."
PB HLTH 144A,1,"This course is intended to serve as an introduction to the S
AS programming language for Windows in an applied, workshop 
environment. Emphasis is on data management and programming 
in a public health research setting. Topics include SAS lang
uage to compute, recode, label, and format variables as well
 as sort, subset, concatenate, and merge data sets. SAS stat
istical procedures will be used to compute univariate and bi
variate summary statistics"
PB HLTH 144B,1,"Topics include data step flow control, looping and automated
 processing, implicit and explicit arrays, data simulation s
trategies, data set reconfiguration, use of SAS Macro variab
les, and writing simple SAS Macro programs."
PB HLTH 145,1,"Regression models for continuous outcome data: least squares
 estimates and their properties, interpreting coefficients, 
prediction, comparing models, checking model assumptions, tr
ansformations, outliers, and influential points. Categorical
 explanatory variables: interaction and analysis of covarian
ce, correlation and partial correlation. Appropriate graphic
al methods and statistical computing. Analysis of variance f
or one- and two-factor models:"
PB HLTH 147,1,"There are four facets to the course. 1) Core knowledge of th
e epidemiology of the major causes of vision loss globally 2
) The role of ophthalmology and surgical interventions in gl
obal health 3) novel teaching methods in group dynamics, pub
lic speaking, video making, physician shadowing, surgery obs
ervation and leadership opportunities 4) Hands on public hea
lth work with an intervention, such as vision screening for 
the homeless. A multidisciplinary"
PB HLTH 150A,1,"This course introduces epidemiological methods with the goal
 of teaching students to read critically and interpret publi
shed epidemiologic studies in humans. The course also expose
s students to the epidemiology of diseases and conditions of
 current public health importance in the United States and i
nternationally."
PB HLTH 150B,1,"The course will present the major human and natural activiti
es that lead to release of hazardous materials into the envi
ronment as well as the causal links between chemical, physic
al, and biological hazards in the environment and their impa
ct on human health. The basic principles of toxicology will 
be presented including dose-response relationships, absorpti
on, distribution, metabolism, and excretion"
PB HLTH 150D,1,"This course is intended to introduce students to health poli
cy making and health care organizations in the United States
. Students will be introduced to concepts from public policy
, economics, organizational behavior, and political science.
 Students will also be introduced to current issues in U.S. 
health policy and the present organization of the U.S. healt
h care system."
PB HLTH 150E,1,"This course will consist of a survey of the major social, cu
ltural, and bio-behavioral patterns of health and well-being
 among individuals, families, neighborhoods, and communities
. The course also will address the design, implementation, a
nd evaluation of leading social and behavioral interventions
 and social policies designed to improve community and popul
ation health. This course will satisfy one of the core requi
rements for the undergraduate"
PB HLTH C155,1,"This course covers several topics, including distributive ju
stice in health care, the organization and politics of the h
ealth system, the correlates of health (by race, sex, class,
 income), pandemics (e.g., AIDS, Avian Flu and other influen
zas, etc.), and the experience of illness and interactions w
ith doctors and the"
PB HLTH C160,1,"The health effects of environmental alterations caused by de
velopment programs and other human activities in both develo
ping and developed areas. Case studies will contextualize me
thodological information and incorporate a global perspectiv
e on environmentally mediated diseases in diverse population
s. Topics include water management; population change; toxic
s; energy development; air pollution;"
PB HLTH 162A,1,"Introduction to properties of microorganisms; their relation
ships with humans in causing infectious diseases and in main
taining health. With 162L, satisfies most requirements for a
 laboratory course in microbiology. May be taken without 162
L."
PB HLTH 162L,1,"This laboratory course was designed to accompany PH162A, Pub
lic Health microbiology. The primary emphasis in the laborat
ory will be on properties of microorganisms, particularly th
ose that cause infectious disease in humans. Examples will b
e presented of laboratory applications of microbiology and i
mmunology as they relate to the diagnosis and treatment of d
isease, and control of the environment to prevent transmissi
on of infectious agents."
